字段1_文本,字段3,字段4,字段6,字段7_文本,字段8,字段9,字段10,字段11,字段13,字段14,字段15,字段16,字段17,字段18,字段19
花都城投翰林世家,在售,花都,花山镇,平西村十二队二街花都城投翰林世家,4室,,,建面 131-171㎡,车位充足,绿化率高,国央企,品牌房企,18000, 元/㎡(均价),总价230-380(万/套)
增江创业广场,在售,增城,荔城增江,纬六路增江创业广场,1室,,,建面 34-46㎡,人车分流,小型社区,公交直达,小户型,7850, 元/㎡(均价),总价26-37(万/套)
太古仓壹号,待售,海珠,工业大道北,海珠区龙凤街金沙社区革新路,,,,,车位充足,小型社区,国央企,品牌房企,价格待定,,
广开·云翰,在售,黄埔,知识城,广东省广州市黄埔区,3室,,,建面 76-142㎡,低单价,低总价,车位充足,绿化率高,20000, 元/㎡(均价),总价170-300(万/套)
智都越秀臻智府,在售,花都,镜湖大道,广东省广州市花都区永利路,3室,4室,,建面 78-108㎡,低总价,车位充足,绿化率高,国央企,16800, 元/㎡(均价),总价130-180(万/套)
珠江壹城·禧悦花园,在售,从化,神岗镇,14号线神岗地铁站B出口,1室,,,建面 31㎡,车位充足,人车分流,品牌房企,近地铁,28000, 元/㎡(均价),总价62(万/套)
保利翔龙天汇,在售,黄埔,科学城,广汕公路黄陂地铁站B出口(第一一七中学旁),,,,,车位充足,人车分流,国央企,品牌房企,27000, 元/㎡(均价),总价500(万/套)
广州兰园江悦,在售,荔湾,滘口,滘口大街12号,4室,5室,,建面 193-285㎡,车位充足,绿化率高,品牌房企,近地铁,60000, 元/㎡(均价),总价900-1600(万/套)
黄埔新福港鼎峰,待售,黄埔,开发西区,广东省广州市黄埔区创业路103号,,,,,小型社区,,,,价格待定,,
市政君睿,在售,增城,增城区府,广州市增城区荔湖街道荔湖街道荔新一路7号之一,,,,,车位充足,人车分流,国央企,品牌房企,价格待定,,
君越府,待售,越秀,三元里,广州市越秀区北站路71号君越府,,,,,人车分流,小型社区,近地铁,地铁沿线,价格待定,,
黄埔润府,待售,黄埔,黄埔区府,大沙东路黄埔润府,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
越秀·云悦,在售,白云,沙太南,京溪街道越秀云悦,,,,,车位充足,绿化率高,国央企,品牌房企,价格待定,,
中交四航珠江春,在售,黄埔,鱼珠,鱼珠街道中交四航珠江春,,,,,车位充足,绿化率高,国央企,品牌房企,价格待定,,
珠实·西关都荟,待售,荔湾,南岸路,内环路珠实·西关都荟,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
广州之窗商务港,待售,海珠,沥滘,广东省广州市海珠区振兴大街18号,,,,,人车分流,大型社区,国央企,品牌房企,价格待定,,
越秀熙悦江湾,待售,海珠,工业大道中,广纸商圈广纸东街AH050314地块,,,,,国央企,品牌房企,近地铁,多轨交汇,价格待定,,
越秀珑悦西关,在售,荔湾,南岸路,河柳街越秀珑悦西关,2室,3室,,建面 68-98㎡,人车分流,小型社区,国央企,品牌房企,50000, 元/㎡(均价),总价330-495(万/套)
招商林屿境,待售,南沙,明珠湾,广东省广州市南沙区,,,,建面 82-125㎡,人车分流,封闭管理,国央企,品牌房企,30000, 元/㎡(均价),总价295(万/套)
中国美都,在售,花都,镜湖大道,广东省广州市花都区凤凰南路73号之九,1室,6室,,建面 1020-1368㎡,车位充足,品牌房企,地铁沿线,公交直达,10000, 元/㎡(均价),总价950-2000(万/套)
广州白云站.金街,在售,白云,同德围,广东省广州市白云区棠乐路161号,1室,,,建面 30-90㎡,人车分流,封闭管理,国央企,品牌房企,55000, 元/㎡(均价),总价150-500(万/套)
云瀚府,在售,越秀,东川路,白云路29-31号,2室,3室,,建面 47-64㎡,车位充足,人车分流,品牌房企,近地铁,43000, 元/㎡(均价),总价202-275(万/套)
万博企业中心,在售,番禺,汉溪长隆,汉溪大道东长隆万博悦府,4室,16室,,建面 473-2979㎡,车位充足,人车分流,国央企,品牌房企,40000, 元/㎡(均价),总价2000-12000(万/套)
广汇新世界金融中心,在售,增城,凤凰城,永宁街凤凰北横路1号,,,,,车位充足,人车分流,近地铁,地铁沿线,20000, 元/㎡(均价),总价650(万/套)
白云堡悦融居,在售,白云,东平,白云大道北白云堡悦融居,4室,6室,,建面 294-439㎡,车位充足,人车分流,置换改善,地铁沿线,22000, 元/㎡(均价),总价944-1146(万/套)
凯旋新世界广粤观邸,在售,天河,珠江新城东,花城大道凯旋新世界广粤观邸,,,,,绿化率高,人车分流,近地铁,多轨交汇,价格待定,,
越秀桂悦东晓,在售,海珠,东晓路,东晓路越秀桂悦东晓,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
从化城投天悦湾,在售,从化,鳌头镇,宝珠大道380号,2室,,,建面 50-113㎡,低单价,低总价,绿化率高,人车分流,6000, 元/㎡(均价),总价30-71(万/套)
领峯中心,待售,黄埔,科学城,黄埔区科学大道以北、开泰大道以西领峯中心,,,,,人车分流,小型社区,近地铁,地铁沿线,价格待定,,
中建白云之星,待售,白云,黄边,黄边北路63号,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
珠江天河都荟,待售,天河,智慧城,高塘路珠江天河都荟,,,,,小型社区,国央企,品牌房企,近地铁,价格待定,,
星河臻华府,待售,黄埔,香雪,广州黄埔科学城云埔街道开创大道,,,,,车位充足,大型社区,品牌房企,公交直达,价格待定,,
琶洲樾华樾,在售,海珠,磨碟沙,新港东路琶洲樾华樾,,,,,绿化率高,人车分流,国央企,品牌房企,价格待定,,
中恒海晖城,在售,南海,小塘,佛山市南海区狮山镇桂丹路99号,2室,3室,4室,建面 64-138㎡,佛山楼盘,低单价,低总价,绿化率高,9500, 元/㎡(均价),总价65-190(万/套)
泷景花园,在售,禅城,澜石,澜石街道前进路19号,3室,4室,,建面 85-189㎡,佛山楼盘,人车分流,大型社区,品牌房企,17500, 元/㎡(均价),总价160-400(万/套)
太平洋国际花园,在售,顺德,陈村,赤花白陈路1号,2室,3室,4室,建面 60-225㎡,佛山楼盘,低总价,绿化率高,人车分流,16000, 元/㎡(均价),总价180-650(万/套)
嘉濠雅苑,在售,顺德,北滘,佛山市顺德区陈村镇南涌芸香围105国道18号,2室,,,建面 87-90㎡,佛山楼盘,低单价,低总价,人车分流,10500, 元/㎡(均价),总价100(万/套)
天晟·海琴湾,在售,南海,丹灶,丹灶金沙大桥侧,3室,4室,,建面 148-195㎡,佛山楼盘,低单价,车位充足,绿化率高,8500, 元/㎡(均价),总价135-220(万/套)
光明花半里,在售,南海,罗村,狮山镇罗村大道南1号,3室,,,建面 117-160㎡,佛山楼盘,低单价,低总价,人车分流,12000, 元/㎡(均价),总价125-138(万/套)
珠水豪庭,在售,南海,黄岐,黄岐北环路138号,3室,4室,5室,建面 87-221㎡,佛山楼盘,人车分流,大型社区,入户花园,32000, 元/㎡(均价),总价270-1000(万/套)
中信山语湖,在售,南海,里水,佛山市南海区里水镇和顺美景水库地段,3室,4室,,建面 89-168㎡,佛山楼盘,低单价,低总价,人车分流,9500, 元/㎡(均价),总价100-161(万/套)
美立方花园,在售,南海,狮山,狮山镇红星南路19号美立方花园,2室,,,建面 90-143㎡,佛山楼盘,低单价,低总价,人车分流,13000, 元/㎡(均价),总价125-171(万/套)
东圣维拉,在售,顺德,容桂,容里骏晖路3号,3室,4室,,建面 100-156㎡,佛山楼盘,低单价,低总价,绿化率高,9000, 元/㎡(均价),总价90-226(万/套)
广佛新世界,在售,南海,大沥,佛山市南海区狮山镇高尔夫路333号,3室,4室,,建面 71-161㎡,佛山楼盘,低总价,绿化率高,低密居所,15000, 元/㎡(均价),总价180-255(万/套)
藏珑华府,在售,顺德,陈村,国通大道东2号,2室,3室,,建面 95-171㎡,佛山楼盘,低总价,绿化率高,人车分流,15000, 元/㎡(均价),总价140-400(万/套)
博雅滨江,在售,三水,西南街道,佛山市三水区西南街道文锋西路55号,3室,4室,5室,建面 112-349㎡,佛山楼盘,车位充足,绿化率高,品牌房企,8800, 元/㎡(均价),总价100-310(万/套)
名铸家园,在售,顺德,勒流,勒流育贤路8号,3室,4室,5室,建面 93-195㎡,佛山楼盘,低单价,低总价,车位充足,11800, 元/㎡(均价),总价120-244(万/套)
美的鹭湖森林度假区,在售,高明,杨和,高明大道中218号,2室,3室,,建面 77-115㎡,佛山楼盘,绿化率高,低密居所,高品质小区,8900, 元/㎡(均价),总价62.3-93.1(万/套)
鸿安花园,在售,三水,北江新区,西青大道23号,2室,3室,4室,建面 91-143㎡,佛山楼盘,低单价,人车分流,大型社区,8300, 元/㎡(均价),总价80-136(万/套)
欧浦花城,在售,高明,杨和,杨西大道133号,3室,,,建面 97-115㎡,佛山楼盘,绿化率高,人车分流,公交直达,6000, 元/㎡(均价),总价55-67(万/套)
明智雅苑,在售,三水,云东海街道,佛山市三水区云东海街道明海路1号,3室,4室,,建面 106-149㎡,佛山楼盘,低单价,绿化率高,低密居所,7500, 元/㎡(均价),总价100-150(万/套)
海骏达康格斯花园,在售,顺德,大良西北区,105国道大良路段(大良古楼加油站旁),3室,4室,,建面 88-153㎡,佛山楼盘,低单价,低总价,绿化率高,9500, 元/㎡(均价),总价177-211(万/套)
丽日坚美森林湖,在售,三水,云东海街道,三水区云东海大道6号,3室,4室,,建面 121-145㎡,佛山楼盘,低单价,车位充足,绿化率高,7300, 元/㎡(均价),总价89-106(万/套)
丽日坚美森林湖,在售,三水,云东海街道,三水区云东海大道6号,4室,5室,,建面 269-301㎡,佛山楼盘,低单价,绿化率高,人车分流,12000, 元/㎡(均价),总价324-376(万/套)
金钻华府,在售,顺德,乐从,乐从大道东A106号,1室,2室,,建面 43-84㎡,佛山楼盘,低单价,低总价,人车分流,11000, 元/㎡(均价),总价55-115(万/套)
圣德嘉园,在售,禅城,南庄,南庄镇南庄二马路102号,3室,,,建面 87-106㎡,佛山楼盘,低单价,低总价,人车分流,7500, 元/㎡(均价),总价73-90(万/套)
美的西江府,在售,顺德,龙江,悦江路3号,4室,,,建面 89-143㎡,佛山楼盘,低单价,低总价,绿化率高,8300, 元/㎡(均价),总价165-193(万/套)
天晟·海琴湾,在售,南海,丹灶,丹灶金沙大桥南侧,5室,6室,7室,建面 248-813㎡,佛山楼盘,车位充足,绿化率高,置换改善,23000, 元/㎡(均价),总价700-2000(万/套)
金地艺境天成,在售,三水,大塘,广东省佛山市三水区大塘镇大布沙锦塘路12号,2室,3室,,建面 85-140㎡,佛山楼盘,低单价,低总价,人车分流,6500, 元/㎡(均价),总价60-95(万/套)
中粮珑湾祥云,在售,禅城,湖景,东平路中粮珑湾祥云,3室,4室,,建面 96-172㎡,佛山楼盘,人车分流,小型社区,国央企,22000, 元/㎡(均价),总价190-320(万/套)
望德8号,在售,禅城,湖景,奇槎华祥路10号,3室,4室,,建面 87-117㎡,佛山楼盘,低总价,人车分流,大型社区,15500, 元/㎡(均价),总价135-200(万/套)
金融街金悦府,在售,三水,云东海街道,广东省佛山市三水新城云庭大道7号（三水北站轻轨站旁）,2室,3室,4室,建面 95-160㎡,佛山楼盘,绿化率高,人车分流,国央企,9000, 元/㎡(均价),总价83-168(万/套)
中雅江湾,在售,顺德,乐从,创富三路中交雅居乐中雅江湾,3室,4室,,建面 98-140㎡,佛山楼盘,低总价,绿化率高,人车分流,13000, 元/㎡(均价),总价120-200(万/套)
坚美园,在售,鹤山市,鹤山市,鹤山市沙坪街道鹤山大道南（汽车总站对面）,3室,4室,,建面 76-161㎡,楼盘,绿化率高,大型社区,品牌房企,6600, 元/㎡(均价),总价61-492(万/套)
南景湾山水城,在售,鹤山市,鹤山市,鹤山市沙坪街道文明路南景华府旁（鹤山一中运动场南侧）,3室,4室,,建面 115-178㎡,楼盘,绿化率高,人车分流,公交直达,5988, 元/㎡(均价),总价84-102(万/套)
中宝温馨家园,在售,鹤山市,鹤山市,广东省江门市鹤山市前进南路36号,2室,3室,4室,建面 83-145㎡,楼盘,绿化率高,人车分流,品牌房企,5800, 元/㎡(均价),总价60-90(万/套)
电建地产·洺悦半岛,在售,顺德,勒流,勒流街道电建地产·洺悦半岛,3室,4室,,建面 105-171㎡,佛山楼盘,低单价,低总价,绿化率高,9500, 元/㎡(均价),总价105-162(万/套)
雲璟上筑,在售,顺德,伦教,龙州公路顺德汽车产业园,1室,,,建面 27-38㎡,佛山楼盘,低单价,低总价,小型社区,7500, 元/㎡(均价),总价23-46(万/套)
金地艺境天成,在售,三水,大塘,三水·大塘新城（珠三角环线北江东出口月亮湖旁）,3室,4室,,建面 140-211㎡,佛山楼盘,低单价,低总价,人车分流,12000, 元/㎡(均价),总价140-250(万/套)
保利新汇城,在售,禅城,祖庙,禅城区佛罗公路45号之一,3室,4室,,建面 86-122㎡,佛山楼盘,低单价,低总价,人车分流,12500, 元/㎡(均价),总价115-155(万/套)
金地艺境天成,在售,三水,大塘,广东省佛山市三水区大塘镇锦塘路12号,1室,,,建面 13-253㎡,佛山楼盘,低单价,低总价,品牌房企,9000, 元/㎡(均价),总价13-253(万/套)
创雄华府,在售,三水,北江新区,佛山市三水区西南街道建设二路2号,3室,4室,,建面 101-128㎡,佛山楼盘,低总价,小型社区,封闭管理,8800, 元/㎡(均价),总价85-123(万/套)
桂南星晴公馆,在售,南海,桂城,南桂东路桂南星晴公馆,2室,3室,4室,建面 68-121㎡,佛山楼盘,人车分流,小型社区,贴心物业,18500, 元/㎡(均价),总价130-225(万/套)
泷景花园,在售,禅城,澜石,澜石街道前进路19号,1室,3室,,建面 28-78㎡,佛山楼盘,低总价,人车分流,大型社区,12000, 元/㎡(均价),总价33-85(万/套)
中国铁建领秀公馆,在售,顺德,北滘,广东省佛山市顺德区三乐路南7号,2室,3室,4室,建面 90-142㎡,佛山楼盘,绿化率高,人车分流,国央企,13000, 元/㎡(均价),总价140-270(万/套)
华业丽景花园,在售,鹤山市,鹤山市,鹤城325国道与270省道交汇处,2室,3室,4室,建面 76-137㎡,楼盘,低单价,绿化率高,人车分流,5200, 元/㎡(均价),总价41.6-79(万/套)
碧桂园天麓湖,在售,鹤山市,鹤山市,江鹤高速共和出口天麓湖风景区,2室,4室,,建面 84-120㎡,楼盘,车位充足,绿化率高,置换改善,6000, 元/㎡(均价),总价65-75(万/套)
中交·诚湾悦府,在售,顺德,杏坛,佛山市顺德杏坛镇高新区德富路58号,3室,4室,,建面 88-133㎡,佛山楼盘,低单价,低总价,车位充足,11000, 元/㎡(均价),总价80-185(万/套)
保利中交大都汇,在售,禅城,绿岛湖,季华路保利中交大都汇,3室,4室,,建面 75-142㎡,佛山楼盘,低单价,低总价,绿化率高,13000, 元/㎡(均价),总价160-220(万/套)
阅海,在售,南海,里水,沿江北三路阅海,2室,3室,4室,建面 90-452㎡,佛山楼盘,低单价,低总价,人车分流,13000, 元/㎡(均价),总价120-280(万/套)
富佳和院,在售,南海,大沥,大沥振兴路60号,3室,,,建面 82-122㎡,佛山楼盘,车位充足,人车分流,贴心物业,17000, 元/㎡(均价),总价147-230(万/套)
润立华庭,在售,四会,大旺,大旺大道与政德街交汇处,2室,4室,,建面 82-121㎡,楼盘,低单价,低总价,人车分流,5500, 元/㎡(均价),总价57-80(万/套)
君山新城,在售,四会,大旺,肇庆市大旺高新区建设路君山新城,2室,3室,4室,建面 65-144㎡,楼盘,低总价,绿化率高,人车分流,6400, 元/㎡(均价),总价45-110(万/套)
御东方,在售,四会,大旺,大旺高新区工业大街与建设路交叉口东120米,2室,3室,4室,建面 83-162㎡,楼盘,人车分流,大型社区,健身跑道,6500, 元/㎡(均价),总价60-117.3(万/套)
唯美·臻岸华府,在售,顺德,大良北区,新基北路唯美·臻岸华府,3室,4室,5室,建面 98-234㎡,佛山楼盘,车位充足,人车分流,健身跑道,15000, 元/㎡(均价),总价175-420(万/套)
金融街仙湖悦府,在售,南海,丹灶,丹灶镇仙湖度假区环湖路16号,3室,4室,,建面 103-143㎡,佛山楼盘,低单价,低总价,车位充足,10000, 元/㎡(均价),总价90-150(万/套)
东澳御园,在售,四会,大旺,高新区·大旺大道与政德大街交汇处,3室,4室,,建面 79-98㎡,楼盘,低单价,绿化率高,人车分流,6000, 元/㎡(均价),总价45-60(万/套)
实地紫藤公馆,在售,顺德,容桂,长业路1号,3室,4室,,建面 93-127㎡,佛山楼盘,低单价,低总价,车位充足,9000, 元/㎡(均价),总价85-150(万/套)
君临天下（富士花园）,在售,高要区,高要,肇庆市高要区白土镇高峰路6号,2室,3室,4室,建面 54-151㎡,楼盘,低单价,低总价,大型社区,5000, 元/㎡(均价),总价29.8-80(万/套)
星湖裕园,在售,端州区,端州,端州区北岭七星路18号,3室,5室,6室,建面 209-700㎡,楼盘,车位充足,人车分流,置换改善,9000, 元/㎡(均价),总价175-780(万/套)
华福·珑熹水岸,在售,高明,荷城,荷城城区泰华路与学舟街交汇处（高明纪念中学旁）,3室,4室,,建面 96-141㎡,佛山楼盘,人车分流,大型社区,品牌房企,7500, 元/㎡(均价),总价75-122(万/套)
天宝豪庭,在售,顺德,杏坛,佛山市顺德区杏龙路37号,3室,,,建面 96-120㎡,佛山楼盘,低单价,低总价,人车分流,8800, 元/㎡(均价),总价85-138(万/套)
保利天际,在售,南海,千灯湖,海五路保利天际,1室,,,建面 74-133㎡,佛山楼盘,人车分流,小型社区,国央企,13000, 元/㎡(均价),总价170-210(万/套)
中交白兰春晓,在售,禅城,祖庙,禅城区货站东路11号,2室,3室,4室,建面 78-127㎡,佛山楼盘,人车分流,大型社区,国央企,17000, 元/㎡(均价),总价125-230(万/套)
鹏瑞皓玥湾,在售,顺德,大良新区,澄海东路鹏瑞皓玥湾,4室,5室,,建面 280-350㎡,佛山楼盘,车位充足,人车分流,品牌房企,42000, 元/㎡(均价),总价1120-1470(万/套)
保利华侨城云禧,在售,南海,三山,南海区三山新城长江路与科丰路交汇处,3室,4室,,建面 87-171㎡,佛山楼盘,人车分流,大型社区,国央企,21000, 元/㎡(均价),总价185-450(万/套)
保利时光印象,在售,顺德,容桂,合新路保利时光印象,3室,,,建面 69-96㎡,佛山楼盘,低单价,低总价,人车分流,11000, 元/㎡(均价),总价100-110(万/套)
绿城顺德杨柳郡,在售,顺德,北滘,佛山市顺德区北滘镇高村村乐创路1号,3室,4室,,建面 99-119㎡,佛山楼盘,车位充足,人车分流,国央企,16000, 元/㎡(均价),总价160-200(万/套)
鸿业季华天地,在售,禅城,湖景,季华六路鸿业季华天地,1室,2室,4室,建面 48-95㎡,佛山楼盘,低单价,低总价,人车分流,12000, 元/㎡(均价),总价42-140(万/套)
瀚康华府,在售,顺德,均安,顺德区均安镇均安三桥桥头均良路与华丰路交汇处,3室,4室,,建面 90-119㎡,佛山楼盘,低单价,低总价,绿化率高,7500, 元/㎡(均价),总价72-92(万/套)
复地公园和光,在售,禅城,石湾,禅城区绿景路北侧、三友南路南侧,2室,3室,,建面 73-117㎡,佛山楼盘,低总价,绿化率高,人车分流,14000, 元/㎡(均价),总价160-210(万/套)
鹤山帝豪居,在售,鹤山市,鹤山市,鹤山市人民东路鹤山公园北门,3室,4室,,建面 96-137㎡,楼盘,车位充足,绿化率高,公交直达,8000, 元/㎡(均价),总价83-91(万/套)
美的云悦江山,在售,顺德,北滘,佛山市顺德区北滘镇高村村美的大道2号云和悦西园,2室,3室,4室,建面 83-142㎡,佛山楼盘,低总价,绿化率高,人车分流,16500, 元/㎡(均价),总价143-255(万/套)
星星凯旋国际,在售,禅城,祖庙,季华七路与南海大道的交汇处,3室,4室,,建面 85-127㎡,佛山楼盘,低单价,人车分流,大型社区,11000, 元/㎡(均价),总价138-178(万/套)
碧桂园云樾金沙,在售,南海,里水,南海里水大道南105号,3室,4室,,建面 87-123㎡,佛山楼盘,绿化率高,人车分流,品牌房企,16000, 元/㎡(均价),总价170-289(万/套)
凯蓝锦伦华庭,在售,顺德,伦教,顺德伦教羊大路与康健路交汇处,3室,,,建面 74-78㎡,佛山楼盘,低单价,低总价,人车分流,11500, 元/㎡(均价),总价90-120(万/套)
时代灯湖天境,在售,南海,桂城,南海区千灯湖海八路旁,3室,4室,,建面 88-106㎡,佛山楼盘,优惠楼盘,人车分流,大型社区,21000, 元/㎡(均价),总价180-260(万/套)
共和宝丰新城,在售,鹤山市,鹤山市,共兴路共和宝丰新城销售中心,3室,4室,,建面 100-120㎡,楼盘,人车分流,封闭管理,贴心物业,5800, 元/㎡(均价),总价58-68(万/套)
中建顺控·云熙悦城,在售,顺德,乐从,佛山新城·佛山一环与新桂路交汇处,2室,3室,4室,建面 80-120㎡,佛山楼盘,低单价,低总价,绿化率高,10000, 元/㎡(均价),总价80-150(万/套)
深业旗山雅苑,在售,南海,里水,南海区里水镇里水大道南沙涌下亨田村下亭一路1号,3室,4室,,建面 84-114㎡,佛山楼盘,低总价,人车分流,小型社区,14000, 元/㎡(均价),总价110-170(万/套)
新希望金沙公馆,在售,南海,金沙洲,里广路南 62 号,3室,4室,,建面 86-117㎡,佛山楼盘,人车分流,品牌房企,健身跑道,23000, 元/㎡(均价),总价210-280(万/套)
中交泷湾云城,在售,南海,三山,中交泷湾云城营销中心,2室,3室,4室,建面 85-139㎡,佛山楼盘,人车分流,大型社区,国央企,20000, 元/㎡(均价),总价155-283(万/套)
金辉辉逸云庭,在售,禅城,南庄,佛山-季华路与紫洞路交汇处地铁2号线湖涌站-外国语学校旁,3室,,,建面 67-115㎡,佛山楼盘,特价好房,低单价,绿化率高,11000, 元/㎡(均价),总价90-110(万/套)
金辉辉逸云庭,在售,禅城,南庄,佛山-季华路与紫洞路交汇处地铁2号线湖涌站-外国语学校旁,4室,5室,,建面 125-142㎡,佛山楼盘,低总价,人车分流,大型社区,25000, 元/㎡(均价),总价300-400(万/套)
星星凯旋国际,在售,禅城,祖庙,"禅城区星辰路10号, 星辰路11号",,,,,佛山楼盘,人车分流,大型社区,品牌房企,28000, 元/㎡(均价),总价3650(万/套)
广佛新世界,在售,南海,大沥,佛山市南海区狮山镇高尔夫路333号,3室,,,建面 672㎡,佛山楼盘,绿化率高,人车分流,置换改善,28000, 元/㎡(均价),总价1881(万/套)
新仕名府,在售,顺德,伦教,南苑西路3号,3室,4室,,建面 69-93㎡,佛山楼盘,低单价,车位充足,人车分流,9500, 元/㎡(均价),总价83-142(万/套)
春风名苑,在售,顺德,乐从,顺德区岳步村太平路与劳岳大道交叉路口往西北约150米,2室,3室,,建面 70-119㎡,佛山楼盘,低总价,人车分流,小型社区,16500, 元/㎡(均价),总价145-180(万/套)
中建映湖万黛,在售,顺德,乐从,顺德区乐从镇大罗大道25号,2室,3室,4室,建面 88-125㎡,佛山楼盘,特价好房,低总价,人车分流,13000, 元/㎡(均价),总价118-166(万/套)
新仕名府,在售,顺德,伦教,顺德区伦教街道南苑西路3号,3室,4室,,建面 108-140㎡,佛山楼盘,低单价,车位充足,绿化率高,12500, 元/㎡(均价),总价129-175(万/套)
金融街金悦郡,在售,三水,云东海街道,三水新城三水北站西侧100米,2室,3室,4室,建面 84-130㎡,佛山楼盘,低总价,人车分流,大型社区,9300, 元/㎡(均价),总价74-137(万/套)
欣雅苑,在售,高明,荷城,高明区荷城街道祥福路60号,3室,4室,,建面 93-113㎡,佛山楼盘,人车分流,小型社区,品牌房企,6300, 元/㎡(均价),总价62-80(万/套)
鸿升春风里,在售,鹤山市,鹤山市,广南线鸿升春风里,1室,3室,,建面 69-91㎡,楼盘,低单价,低总价,绿化率高,5500, 元/㎡(均价),总价44.2-60(万/套)
天樾水岸,在售,禅城,澜石,禅城区东平路·城市秀台旁（世纪莲对岸）,2室,3室,4室,建面 95-181㎡,佛山楼盘,绿化率高,人车分流,多轨交汇,20000, 元/㎡(均价),总价170-330(万/套)
润立丽苑,在售,南海,西樵,南海区西樵镇西樵建新路30号,1室,2室,,建面 77-106㎡,佛山楼盘,低单价,低总价,人车分流,7000, 元/㎡(均价),总价67-86(万/套)
颐安·雍悦华府,在售,三水,北江新区,三水区西南街道口岸大道22号,2室,3室,4室,建面 90-146㎡,佛山楼盘,人车分流,封闭管理,品牌房企,8800, 元/㎡(均价),总价84-240(万/套)
中建壹品·湖北文旅·东湖学府,在售,顺德,容桂,容桂街道容里小学以南、容英路以东（东湖公园旁）,2室,3室,4室,建面 88-144㎡,佛山楼盘,低单价,低总价,车位充足,12000, 元/㎡(均价),总价97-227(万/套)
美的·金地·新明珠·凤翔湾壹号,在售,禅城,南庄,禅城区魁奇路石南大桥侧,3室,4室,,建面 83-142㎡,佛山楼盘,低总价,人车分流,大型社区,14500, 元/㎡(均价),总价158-200(万/套)
圣淘湾·美丽院子,在售,顺德,龙江,顺德区龙江镇杏龙路6号至8号,2室,3室,4室,建面 94-238㎡,佛山楼盘,低单价,低总价,绿化率高,8100, 元/㎡(均价),总价98-285(万/套)
广域西江华府,在售,三水,白坭,佛山市三水区白坭镇人民东街30号,3室,,,建面 81-94㎡,佛山楼盘,低单价,低总价,人车分流,7000, 元/㎡(均价),总价57-63(万/套)
樵顺高建广场,在售,高明,荷城,高明区荷城街道碧桂路135号,2室,3室,,建面 81-142㎡,佛山楼盘,低单价,低总价,人车分流,5300, 元/㎡(均价),总价43-80(万/套)
保利阅江台江缦,在售,顺德,陈村,顺德区陈村镇华阳路东侧,4室,,,建面 97-270㎡,佛山楼盘,车位充足,绿化率高,国央企,20000, 元/㎡(均价),总价210-950(万/套)
龙湖江与城,在售,顺德,伦教,顺德伦教·滨江新城,2室,,,建面 85-122㎡,佛山楼盘,低单价,低总价,人车分流,12000, 元/㎡(均价),总价102-114(万/套)
美的世茂滨江壹号,在售,顺德,大良新区,顺德区大良街道德胜西路,3室,4室,,建面 97-142㎡,佛山楼盘,低总价,车位充足,人车分流,15000, 元/㎡(均价),总价140-260(万/套)
凯蓝滨江名门花园,在售,顺德,容桂,顺德区容桂东堤路以南、乐安北路以东地块,3室,4室,,建面 74-107㎡,佛山楼盘,低单价,低总价,人车分流,12000, 元/㎡(均价),总价115-145(万/套)
华侨城·纯水岸,在售,鹤山市,鹤山市,鹤山市古劳镇西江河畔,1室,3室,4室,建面 45-120㎡,楼盘,低单价,低总价,低密居所,4688, 元/㎡(均价),总价23-65(万/套)
保利清能和府,在售,三水,云东海街道,三水区云东海街道映海路29号（佛山市华大星晖高级中学旁）,2室,3室,4室,建面 81-113㎡,佛山楼盘,低总价,绿化率高,人车分流,8900, 元/㎡(均价),总价67-108(万/套)
鸿升·江门玉兰花园,在售,鹤山市,鹤山市,鹤城大道088号,2室,3室,4室,建面 70-116㎡,楼盘,低单价,人车分流,大型社区,5500, 元/㎡(均价),总价46-64(万/套)
香缤天玺名苑,在售,高明,荷城,佛山高明荷城沿江路456号,2室,3室,,建面 85-123㎡,佛山楼盘,车位充足,人车分流,品牌房企,6000, 元/㎡(均价),总价54-84(万/套)
中梁壹号院,在售,端州区,北岭,学院路中梁壹号院,4室,5室,,建面 96-180㎡,楼盘,绿化率高,人车分流,品牌房企,7500, 元/㎡(均价),总价130-160(万/套)
金融街·顺德金悦府,在售,顺德,陈村,广东省佛山市顺德区陈村镇横三路弼教段2号,3室,4室,,建面 88-138㎡,佛山楼盘,低总价,车位充足,绿化率高,13000, 元/㎡(均价),总价130-240(万/套)
广域西江华府,在售,三水,白坭,三水区白坭镇人民东街30号,1室,,,建面 28-31㎡,佛山楼盘,低单价,低总价,人车分流,5500, 元/㎡(均价),总价13.8-16.8(万/套)
中梁星图,在售,南海,西樵,南海区西樵镇樵誉路3号,3室,4室,,建面 89-128㎡,佛山楼盘,低单价,低总价,人车分流,8500, 元/㎡(均价),总价76-95(万/套)
勤天熹园,在售,高明,荷城,高明区西江新城荷香路与怡乐路交汇处,2室,3室,,建面 75-109㎡,佛山楼盘,人车分流,小型社区,品牌房企,8300, 元/㎡(均价),总价65-90(万/套)
