标题,地区,位置,具体位置,resblock-tag1 resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
太古仓壹号,海珠,工业大道北,海珠区龙凤街金沙社区革新路,"车位充足, 小型社区, 国央企, 品牌房企",价格待定,,待售,,
广开·云翰,黄埔,知识城,广东省广州市黄埔区,"低单价, 低总价, 车位充足, 绿化率高",20000,总价170-300(万/套),在售,3室,建面 76-142㎡
智都越秀臻智府,花都,镜湖大道,广东省广州市花都区永利路,"低总价, 车位充足, 绿化率高, 国央企",16800,总价130-180(万/套),在售,"3室, 4室",建面 78-108㎡
珠江壹城·禧悦花园,从化,神岗镇,14号线神岗地铁站B出口,"车位充足, 人车分流, 品牌房企, 近地铁",28000,总价62(万/套),在售,1室,建面 31㎡
保利翔龙天汇,黄埔,科学城,广汕公路黄陂地铁站B出口(第一一七中学旁),"车位充足, 人车分流, 国央企, 品牌房企",27000,总价500(万/套),在售,,
广州兰园江悦,荔湾,滘口,滘口大街12号,"车位充足, 绿化率高, 品牌房企, 近地铁",60000,总价900-1600(万/套),在售,"4室, 5室",建面 193-285㎡
黄埔新福港鼎峰,黄埔,开发西区,广东省广州市黄埔区创业路103号,小型社区,价格待定,,待售,,
市政君睿,增城,增城区府,广州市增城区荔湖街道荔湖街道荔新一路7号之一,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,在售,,
君越府,越秀,三元里,广州市越秀区北站路71号君越府,"人车分流, 小型社区, 近地铁, 地铁沿线",价格待定,,待售,,
黄埔润府,黄埔,黄埔区府,大沙东路黄埔润府,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
越秀·云悦,白云,沙太南,京溪街道越秀云悦,"车位充足, 绿化率高, 国央企, 品牌房企",价格待定,,在售,,
中交四航珠江春,黄埔,鱼珠,鱼珠街道中交四航珠江春,"车位充足, 绿化率高, 国央企, 品牌房企",价格待定,,在售,,
珠实·西关都荟,荔湾,南岸路,内环路珠实·西关都荟,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
广州之窗商务港,海珠,沥滘,广东省广州市海珠区振兴大街18号,"人车分流, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
越秀熙悦江湾,海珠,工业大道中,广纸商圈广纸东街AH050314地块,"国央企, 品牌房企, 近地铁, 多轨交汇",价格待定,,待售,,
越秀珑悦西关,荔湾,南岸路,河柳街越秀珑悦西关,"人车分流, 小型社区, 国央企, 品牌房企",50000,总价330-495(万/套),在售,"2室, 3室",建面 68-98㎡
招商林屿境,南沙,明珠湾,广东省广州市南沙区,"人车分流, 封闭管理, 国央企, 品牌房企",30000,总价295(万/套),待售,,建面 82-125㎡
中国美都,花都,镜湖大道,广东省广州市花都区凤凰南路73号之九,"车位充足, 品牌房企, 地铁沿线, 公交直达",10000,总价950-2000(万/套),在售,"1室, 6室",建面 1020-1368㎡
广州白云站.金街,白云,同德围,广东省广州市白云区棠乐路161号,"人车分流, 封闭管理, 国央企, 品牌房企",55000,总价150-500(万/套),在售,1室,建面 30-90㎡
云瀚府,越秀,东川路,白云路29-31号,"车位充足, 人车分流, 品牌房企, 近地铁",43000,总价202-275(万/套),在售,"2室, 3室",建面 47-64㎡
万博企业中心,番禺,汉溪长隆,汉溪大道东长隆万博悦府,"车位充足, 人车分流, 国央企, 品牌房企",40000,总价2000-12000(万/套),在售,"4室, 16室",建面 473-2979㎡
广汇新世界金融中心,增城,凤凰城,永宁街凤凰北横路1号,"车位充足, 人车分流, 近地铁, 地铁沿线",20000,总价650(万/套),在售,,
白云堡悦融居,白云,东平,白云大道北白云堡悦融居,"车位充足, 人车分流, 置换改善, 地铁沿线",22000,总价944-1146(万/套),在售,"4室, 6室",建面 294-439㎡
凯旋新世界广粤观邸,天河,珠江新城东,花城大道凯旋新世界广粤观邸,"绿化率高, 人车分流, 近地铁, 多轨交汇",价格待定,,在售,,
越秀桂悦东晓,海珠,东晓路,东晓路越秀桂悦东晓,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,在售,,
从化城投天悦湾,从化,鳌头镇,宝珠大道380号,"低单价, 低总价, 绿化率高, 人车分流",6000,总价30-71(万/套),在售,2室,建面 50-113㎡
领峯中心,黄埔,科学城,黄埔区科学大道以北、开泰大道以西领峯中心,"人车分流, 小型社区, 近地铁, 地铁沿线",价格待定,,待售,,
中建白云之星,白云,黄边,黄边北路63号,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
珠江天河都荟,天河,智慧城,高塘路珠江天河都荟,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
星河臻华府,黄埔,香雪,广州黄埔科学城云埔街道开创大道,"车位充足, 大型社区, 品牌房企, 公交直达",价格待定,,待售,,
琶洲樾华樾,海珠,磨碟沙,新港东路琶洲樾华樾,"绿化率高, 人车分流, 国央企, 品牌房企",价格待定,,在售,,
中恒海晖城,南海,小塘,佛山市南海区狮山镇桂丹路99号,"佛山楼盘, 低单价, 低总价, 绿化率高",9500,总价65-190(万/套),在售,"2室, 3室, 4室",建面 64-138㎡
泷景花园,禅城,澜石,澜石街道前进路19号,"佛山楼盘, 人车分流, 大型社区, 品牌房企",17500,总价160-400(万/套),在售,"3室, 4室",建面 85-189㎡
太平洋国际花园,顺德,陈村,赤花白陈路1号,"佛山楼盘, 低总价, 绿化率高, 人车分流",16000,总价180-650(万/套),在售,"2室, 3室, 4室",建面 60-225㎡
嘉濠雅苑,顺德,北滘,佛山市顺德区陈村镇南涌芸香围105国道18号,"佛山楼盘, 低单价, 低总价, 人车分流",10500,总价100(万/套),在售,2室,建面 87-90㎡
天晟·海琴湾,南海,丹灶,丹灶金沙大桥侧,"佛山楼盘, 低单价, 车位充足, 绿化率高",8500,总价135-220(万/套),在售,"3室, 4室",建面 148-195㎡
光明花半里,南海,罗村,狮山镇罗村大道南1号,"佛山楼盘, 低单价, 低总价, 人车分流",12000,总价125-138(万/套),在售,3室,建面 117-160㎡
珠水豪庭,南海,黄岐,黄岐北环路138号,"佛山楼盘, 人车分流, 大型社区, 入户花园",32000,总价270-1000(万/套),在售,"3室, 4室, 5室",建面 87-221㎡
中信山语湖,南海,里水,佛山市南海区里水镇和顺美景水库地段,"佛山楼盘, 低单价, 低总价, 人车分流",9500,总价100-161(万/套),在售,"3室, 4室",建面 89-168㎡
美立方花园,南海,狮山,狮山镇红星南路19号美立方花园,"佛山楼盘, 低单价, 低总价, 人车分流",13000,总价125-171(万/套),在售,2室,建面 90-143㎡
东圣维拉,顺德,容桂,容里骏晖路3号,"佛山楼盘, 低单价, 低总价, 绿化率高",9000,总价90-226(万/套),在售,"3室, 4室",建面 100-156㎡
广佛新世界,南海,大沥,佛山市南海区狮山镇高尔夫路333号,"佛山楼盘, 低总价, 绿化率高, 低密居所",15000,总价180-255(万/套),在售,"3室, 4室",建面 71-161㎡
藏珑华府,顺德,陈村,国通大道东2号,"佛山楼盘, 低总价, 绿化率高, 人车分流",15000,总价140-400(万/套),在售,"2室, 3室",建面 95-171㎡
博雅滨江,三水,西南街道,佛山市三水区西南街道文锋西路55号,"佛山楼盘, 车位充足, 绿化率高, 品牌房企",8800,总价100-310(万/套),在售,"3室, 4室, 5室",建面 112-349㎡
名铸家园,顺德,勒流,勒流育贤路8号,"佛山楼盘, 低单价, 低总价, 车位充足",11800,总价120-244(万/套),在售,"3室, 4室, 5室",建面 93-195㎡
美的鹭湖森林度假区,高明,杨和,高明大道中218号,"佛山楼盘, 绿化率高, 低密居所, 高品质小区",8900,总价62.3-93.1(万/套),在售,"2室, 3室",建面 77-115㎡
鸿安花园,三水,北江新区,西青大道23号,"佛山楼盘, 低单价, 人车分流, 大型社区",8300,总价80-136(万/套),在售,"2室, 3室, 4室",建面 91-143㎡
欧浦花城,高明,杨和,杨西大道133号,"佛山楼盘, 绿化率高, 人车分流, 公交直达",6000,总价55-67(万/套),在售,3室,建面 97-115㎡
明智雅苑,三水,云东海街道,佛山市三水区云东海街道明海路1号,"佛山楼盘, 低单价, 绿化率高, 低密居所",7500,总价100-150(万/套),在售,"3室, 4室",建面 106-149㎡
海骏达康格斯花园,顺德,大良西北区,105国道大良路段(大良古楼加油站旁),"佛山楼盘, 低单价, 低总价, 绿化率高",9500,总价177-211(万/套),在售,"3室, 4室",建面 88-153㎡
丽日坚美森林湖,三水,云东海街道,三水区云东海大道6号,"佛山楼盘, 低单价, 车位充足, 绿化率高",7300,总价89-106(万/套),在售,"3室, 4室",建面 121-145㎡
丽日坚美森林湖,三水,云东海街道,三水区云东海大道6号,"佛山楼盘, 低单价, 绿化率高, 人车分流",12000,总价324-376(万/套),在售,"4室, 5室",建面 269-301㎡
金钻华府,顺德,乐从,乐从大道东A106号,"佛山楼盘, 低单价, 低总价, 人车分流",11000,总价55-115(万/套),在售,"1室, 2室",建面 43-84㎡
圣德嘉园,禅城,南庄,南庄镇南庄二马路102号,"佛山楼盘, 低单价, 低总价, 人车分流",7500,总价73-90(万/套),在售,3室,建面 87-106㎡
美的西江府,顺德,龙江,悦江路3号,"佛山楼盘, 低单价, 低总价, 绿化率高",8300,总价165-193(万/套),在售,4室,建面 89-143㎡
天晟·海琴湾,南海,丹灶,丹灶金沙大桥南侧,"佛山楼盘, 车位充足, 绿化率高, 置换改善",23000,总价700-2000(万/套),在售,"5室, 6室, 7室",建面 248-813㎡
金地艺境天成,三水,大塘,广东省佛山市三水区大塘镇大布沙锦塘路12号,"佛山楼盘, 低单价, 低总价, 人车分流",6500,总价60-95(万/套),在售,"2室, 3室",建面 85-140㎡
中粮珑湾祥云,禅城,湖景,东平路中粮珑湾祥云,"佛山楼盘, 人车分流, 小型社区, 国央企",22000,总价190-320(万/套),在售,"3室, 4室",建面 96-172㎡
望德8号,禅城,湖景,奇槎华祥路10号,"佛山楼盘, 低总价, 人车分流, 大型社区",15500,总价135-200(万/套),在售,"3室, 4室",建面 87-117㎡
金融街金悦府,三水,云东海街道,广东省佛山市三水新城云庭大道7号（三水北站轻轨站旁）,"佛山楼盘, 绿化率高, 人车分流, 国央企",9000,总价83-168(万/套),在售,"2室, 3室, 4室",建面 95-160㎡
中雅江湾,顺德,乐从,创富三路中交雅居乐中雅江湾,"佛山楼盘, 低总价, 绿化率高, 人车分流",13000,总价120-200(万/套),在售,"3室, 4室",建面 98-140㎡
坚美园,鹤山市,鹤山市,鹤山市沙坪街道鹤山大道南（汽车总站对面）,"楼盘, 绿化率高, 大型社区, 品牌房企",6600,总价61-492(万/套),在售,"3室, 4室",建面 76-161㎡
南景湾山水城,鹤山市,鹤山市,鹤山市沙坪街道文明路南景华府旁（鹤山一中运动场南侧）,"楼盘, 绿化率高, 人车分流, 公交直达",5988,总价84-102(万/套),在售,"3室, 4室",建面 115-178㎡
中宝温馨家园,鹤山市,鹤山市,广东省江门市鹤山市前进南路36号,"楼盘, 绿化率高, 人车分流, 品牌房企",5800,总价60-90(万/套),在售,"2室, 3室, 4室",建面 83-145㎡
电建地产·洺悦半岛,顺德,勒流,勒流街道电建地产·洺悦半岛,"佛山楼盘, 低单价, 低总价, 绿化率高",9500,总价105-162(万/套),在售,"3室, 4室",建面 105-171㎡
雲璟上筑,顺德,伦教,龙州公路顺德汽车产业园,"佛山楼盘, 低单价, 低总价, 小型社区",7500,总价23-46(万/套),在售,1室,建面 27-38㎡
金地艺境天成,三水,大塘,三水·大塘新城（珠三角环线北江东出口月亮湖旁）,"佛山楼盘, 低单价, 低总价, 人车分流",12000,总价140-250(万/套),在售,"3室, 4室",建面 140-211㎡
保利新汇城,禅城,祖庙,禅城区佛罗公路45号之一,"佛山楼盘, 低单价, 低总价, 人车分流",12500,总价115-155(万/套),在售,"3室, 4室",建面 86-122㎡
金地艺境天成,三水,大塘,广东省佛山市三水区大塘镇锦塘路12号,"佛山楼盘, 低单价, 低总价, 品牌房企",9000,总价13-253(万/套),在售,1室,建面 13-253㎡
创雄华府,三水,北江新区,佛山市三水区西南街道建设二路2号,"佛山楼盘, 低总价, 小型社区, 封闭管理",8800,总价85-123(万/套),在售,"3室, 4室",建面 101-128㎡
桂南星晴公馆,南海,桂城,南桂东路桂南星晴公馆,"佛山楼盘, 人车分流, 小型社区, 贴心物业",18500,总价130-225(万/套),在售,"2室, 3室, 4室",建面 68-121㎡
泷景花园,禅城,澜石,澜石街道前进路19号,"佛山楼盘, 低总价, 人车分流, 大型社区",12000,总价33-85(万/套),在售,"1室, 3室",建面 28-78㎡
中国铁建领秀公馆,顺德,北滘,广东省佛山市顺德区三乐路南7号,"佛山楼盘, 绿化率高, 人车分流, 国央企",13000,总价140-270(万/套),在售,"2室, 3室, 4室",建面 90-142㎡
华业丽景花园,鹤山市,鹤山市,鹤城325国道与270省道交汇处,"楼盘, 低单价, 绿化率高, 人车分流",5200,总价41.6-79(万/套),在售,"2室, 3室, 4室",建面 76-137㎡
碧桂园天麓湖,鹤山市,鹤山市,江鹤高速共和出口天麓湖风景区,"楼盘, 车位充足, 绿化率高, 置换改善",6000,总价65-75(万/套),在售,"2室, 4室",建面 84-120㎡
中交·诚湾悦府,顺德,杏坛,佛山市顺德杏坛镇高新区德富路58号,"佛山楼盘, 低单价, 低总价, 车位充足",11000,总价80-185(万/套),在售,"3室, 4室",建面 88-133㎡
保利中交大都汇,禅城,绿岛湖,季华路保利中交大都汇,"佛山楼盘, 低单价, 低总价, 绿化率高",13000,总价160-220(万/套),在售,"3室, 4室",建面 75-142㎡
阅海,南海,里水,沿江北三路阅海,"佛山楼盘, 低单价, 低总价, 人车分流",13000,总价120-280(万/套),在售,"2室, 3室, 4室",建面 90-452㎡
富佳和院,南海,大沥,大沥振兴路60号,"佛山楼盘, 车位充足, 人车分流, 贴心物业",17000,总价147-230(万/套),在售,3室,建面 82-122㎡
润立华庭,四会,大旺,大旺大道与政德街交汇处,"楼盘, 低单价, 低总价, 人车分流",5500,总价57-80(万/套),在售,"2室, 4室",建面 82-121㎡
君山新城,四会,大旺,肇庆市大旺高新区建设路君山新城,"楼盘, 低总价, 绿化率高, 人车分流",6400,总价45-110(万/套),在售,"2室, 3室, 4室",建面 65-144㎡
御东方,四会,大旺,大旺高新区工业大街与建设路交叉口东120米,"楼盘, 人车分流, 大型社区, 健身跑道",6500,总价60-117.3(万/套),在售,"2室, 3室, 4室",建面 83-162㎡
唯美·臻岸华府,顺德,大良北区,新基北路唯美·臻岸华府,"佛山楼盘, 车位充足, 人车分流, 健身跑道",15000,总价175-420(万/套),在售,"3室, 4室, 5室",建面 98-234㎡
金融街仙湖悦府,南海,丹灶,丹灶镇仙湖度假区环湖路16号,"佛山楼盘, 低单价, 低总价, 车位充足",10000,总价90-150(万/套),在售,"3室, 4室",建面 103-143㎡
东澳御园,四会,大旺,高新区·大旺大道与政德大街交汇处,"楼盘, 低单价, 绿化率高, 人车分流",6000,总价45-60(万/套),在售,"3室, 4室",建面 79-98㎡
实地紫藤公馆,顺德,容桂,长业路1号,"佛山楼盘, 低单价, 低总价, 车位充足",9000,总价85-150(万/套),在售,"3室, 4室",建面 93-127㎡
君临天下（富士花园）,高要区,高要,肇庆市高要区白土镇高峰路6号,"楼盘, 低单价, 低总价, 大型社区",5000,总价29.8-80(万/套),在售,"2室, 3室, 4室",建面 54-151㎡
星湖裕园,端州区,端州,端州区北岭七星路18号,"楼盘, 车位充足, 人车分流, 置换改善",9000,总价175-780(万/套),在售,"3室, 5室, 6室",建面 209-700㎡
华福·珑熹水岸,高明,荷城,荷城城区泰华路与学舟街交汇处（高明纪念中学旁）,"佛山楼盘, 人车分流, 大型社区, 品牌房企",7500,总价75-122(万/套),在售,"3室, 4室",建面 96-141㎡
天宝豪庭,顺德,杏坛,佛山市顺德区杏龙路37号,"佛山楼盘, 低单价, 低总价, 人车分流",8800,总价85-138(万/套),在售,3室,建面 96-120㎡
保利天际,南海,千灯湖,海五路保利天际,"佛山楼盘, 人车分流, 小型社区, 国央企",13000,总价170-210(万/套),在售,1室,建面 74-133㎡
中交白兰春晓,禅城,祖庙,禅城区货站东路11号,"佛山楼盘, 人车分流, 大型社区, 国央企",17000,总价125-230(万/套),在售,"2室, 3室, 4室",建面 78-127㎡
鹏瑞皓玥湾,顺德,大良新区,澄海东路鹏瑞皓玥湾,"佛山楼盘, 车位充足, 人车分流, 品牌房企",42000,总价1120-1470(万/套),在售,"4室, 5室",建面 280-350㎡
保利华侨城云禧,南海,三山,南海区三山新城长江路与科丰路交汇处,"佛山楼盘, 人车分流, 大型社区, 国央企",21000,总价185-450(万/套),在售,"3室, 4室",建面 87-171㎡
保利时光印象,顺德,容桂,合新路保利时光印象,"佛山楼盘, 低单价, 低总价, 人车分流",11000,总价100-110(万/套),在售,3室,建面 69-96㎡
绿城顺德杨柳郡,顺德,北滘,佛山市顺德区北滘镇高村村乐创路1号,"佛山楼盘, 车位充足, 人车分流, 国央企",16000,总价160-200(万/套),在售,"3室, 4室",建面 99-119㎡
鸿业季华天地,禅城,湖景,季华六路鸿业季华天地,"佛山楼盘, 低单价, 低总价, 人车分流",12000,总价42-140(万/套),在售,"1室, 2室, 4室",建面 48-95㎡
瀚康华府,顺德,均安,顺德区均安镇均安三桥桥头均良路与华丰路交汇处,"佛山楼盘, 低单价, 低总价, 绿化率高",7500,总价72-92(万/套),在售,"3室, 4室",建面 90-119㎡
复地公园和光,禅城,石湾,禅城区绿景路北侧、三友南路南侧,"佛山楼盘, 低总价, 绿化率高, 人车分流",14000,总价160-210(万/套),在售,"2室, 3室",建面 73-117㎡
鹤山帝豪居,鹤山市,鹤山市,鹤山市人民东路鹤山公园北门,"楼盘, 车位充足, 绿化率高, 公交直达",8000,总价83-91(万/套),在售,"3室, 4室",建面 96-137㎡
美的云悦江山,顺德,北滘,佛山市顺德区北滘镇高村村美的大道2号云和悦西园,"佛山楼盘, 低总价, 绿化率高, 人车分流",16500,总价143-255(万/套),在售,"2室, 3室, 4室",建面 83-142㎡
星星凯旋国际,禅城,祖庙,季华七路与南海大道的交汇处,"佛山楼盘, 低单价, 人车分流, 大型社区",11000,总价138-178(万/套),在售,"3室, 4室",建面 85-127㎡
碧桂园云樾金沙,南海,里水,南海里水大道南105号,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",16000,总价170-289(万/套),在售,"3室, 4室",建面 87-123㎡
凯蓝锦伦华庭,顺德,伦教,顺德伦教羊大路与康健路交汇处,"佛山楼盘, 低单价, 低总价, 人车分流",11500,总价90-120(万/套),在售,3室,建面 74-78㎡
时代灯湖天境,南海,桂城,南海区千灯湖海八路旁,"佛山楼盘, 优惠楼盘, 人车分流, 大型社区",21000,总价180-260(万/套),在售,"3室, 4室",建面 88-106㎡
共和宝丰新城,鹤山市,鹤山市,共兴路共和宝丰新城销售中心,"楼盘, 人车分流, 封闭管理, 贴心物业",5800,总价58-68(万/套),在售,"3室, 4室",建面 100-120㎡
中建顺控·云熙悦城,顺德,乐从,佛山新城·佛山一环与新桂路交汇处,"佛山楼盘, 低单价, 低总价, 绿化率高",10000,总价80-150(万/套),在售,"2室, 3室, 4室",建面 80-120㎡
深业旗山雅苑,南海,里水,南海区里水镇里水大道南沙涌下亨田村下亭一路1号,"佛山楼盘, 低总价, 人车分流, 小型社区",14000,总价110-170(万/套),在售,"3室, 4室",建面 84-114㎡
新希望金沙公馆,南海,金沙洲,里广路南 62 号,"佛山楼盘, 人车分流, 品牌房企, 健身跑道",23000,总价210-280(万/套),在售,"3室, 4室",建面 86-117㎡
中交泷湾云城,南海,三山,中交泷湾云城营销中心,"佛山楼盘, 人车分流, 大型社区, 国央企",20000,总价155-283(万/套),在售,"2室, 3室, 4室",建面 85-139㎡
金辉辉逸云庭,禅城,南庄,佛山-季华路与紫洞路交汇处地铁2号线湖涌站-外国语学校旁,"佛山楼盘, 特价好房, 低单价, 绿化率高",11000,总价90-110(万/套),在售,3室,建面 67-115㎡
金辉辉逸云庭,禅城,南庄,佛山-季华路与紫洞路交汇处地铁2号线湖涌站-外国语学校旁,"佛山楼盘, 低总价, 人车分流, 大型社区",25000,总价300-400(万/套),在售,"4室, 5室",建面 125-142㎡
星星凯旋国际,禅城,祖庙,"禅城区星辰路10号, 星辰路11号","佛山楼盘, 人车分流, 大型社区, 品牌房企",28000,总价3650(万/套),在售,,
广佛新世界,南海,大沥,佛山市南海区狮山镇高尔夫路333号,"佛山楼盘, 绿化率高, 人车分流, 置换改善",28000,总价1881(万/套),在售,3室,建面 672㎡
新仕名府,顺德,伦教,南苑西路3号,"佛山楼盘, 低单价, 车位充足, 人车分流",9500,总价83-142(万/套),在售,"3室, 4室",建面 69-93㎡
春风名苑,顺德,乐从,顺德区岳步村太平路与劳岳大道交叉路口往西北约150米,"佛山楼盘, 低总价, 人车分流, 小型社区",16500,总价145-180(万/套),在售,"2室, 3室",建面 70-119㎡
中建映湖万黛,顺德,乐从,顺德区乐从镇大罗大道25号,"佛山楼盘, 特价好房, 低总价, 人车分流",13000,总价118-166(万/套),在售,"2室, 3室, 4室",建面 88-125㎡
新仕名府,顺德,伦教,顺德区伦教街道南苑西路3号,"佛山楼盘, 低单价, 车位充足, 绿化率高",12500,总价129-175(万/套),在售,"3室, 4室",建面 108-140㎡
金融街金悦郡,三水,云东海街道,三水新城三水北站西侧100米,"佛山楼盘, 低总价, 人车分流, 大型社区",9300,总价74-137(万/套),在售,"2室, 3室, 4室",建面 84-130㎡
欣雅苑,高明,荷城,高明区荷城街道祥福路60号,"佛山楼盘, 人车分流, 小型社区, 品牌房企",6300,总价62-80(万/套),在售,"3室, 4室",建面 93-113㎡
鸿升春风里,鹤山市,鹤山市,广南线鸿升春风里,"楼盘, 低单价, 低总价, 绿化率高",5500,总价44.2-60(万/套),在售,"1室, 3室",建面 69-91㎡
天樾水岸,禅城,澜石,禅城区东平路·城市秀台旁（世纪莲对岸）,"佛山楼盘, 绿化率高, 人车分流, 多轨交汇",20000,总价170-330(万/套),在售,"2室, 3室, 4室",建面 95-181㎡
润立丽苑,南海,西樵,南海区西樵镇西樵建新路30号,"佛山楼盘, 低单价, 低总价, 人车分流",7000,总价67-86(万/套),在售,"1室, 2室",建面 77-106㎡
颐安·雍悦华府,三水,北江新区,三水区西南街道口岸大道22号,"佛山楼盘, 人车分流, 封闭管理, 品牌房企",8800,总价84-240(万/套),在售,"2室, 3室, 4室",建面 90-146㎡
中建壹品·湖北文旅·东湖学府,顺德,容桂,容桂街道容里小学以南、容英路以东（东湖公园旁）,"佛山楼盘, 低单价, 低总价, 车位充足",12000,总价97-227(万/套),在售,"2室, 3室, 4室",建面 88-144㎡
美的·金地·新明珠·凤翔湾壹号,禅城,南庄,禅城区魁奇路石南大桥侧,"佛山楼盘, 低总价, 人车分流, 大型社区",14500,总价158-200(万/套),在售,"3室, 4室",建面 83-142㎡
圣淘湾·美丽院子,顺德,龙江,顺德区龙江镇杏龙路6号至8号,"佛山楼盘, 低单价, 低总价, 绿化率高",8100,总价98-285(万/套),在售,"2室, 3室, 4室",建面 94-238㎡
广域西江华府,三水,白坭,佛山市三水区白坭镇人民东街30号,"佛山楼盘, 低单价, 低总价, 人车分流",7000,总价57-63(万/套),在售,3室,建面 81-94㎡
樵顺高建广场,高明,荷城,高明区荷城街道碧桂路135号,"佛山楼盘, 低单价, 低总价, 人车分流",5300,总价43-80(万/套),在售,"2室, 3室",建面 81-142㎡
保利阅江台江缦,顺德,陈村,顺德区陈村镇华阳路东侧,"佛山楼盘, 车位充足, 绿化率高, 国央企",20000,总价210-950(万/套),在售,4室,建面 97-270㎡
龙湖江与城,顺德,伦教,顺德伦教·滨江新城,"佛山楼盘, 低单价, 低总价, 人车分流",12000,总价102-114(万/套),在售,2室,建面 85-122㎡
美的世茂滨江壹号,顺德,大良新区,顺德区大良街道德胜西路,"佛山楼盘, 低总价, 车位充足, 人车分流",15000,总价140-260(万/套),在售,"3室, 4室",建面 97-142㎡
凯蓝滨江名门花园,顺德,容桂,顺德区容桂东堤路以南、乐安北路以东地块,"佛山楼盘, 低单价, 低总价, 人车分流",12000,总价115-145(万/套),在售,"3室, 4室",建面 74-107㎡
华侨城·纯水岸,鹤山市,鹤山市,鹤山市古劳镇西江河畔,"楼盘, 低单价, 低总价, 低密居所",4688,总价23-65(万/套),在售,"1室, 3室, 4室",建面 45-120㎡
保利清能和府,三水,云东海街道,三水区云东海街道映海路29号（佛山市华大星晖高级中学旁）,"佛山楼盘, 低总价, 绿化率高, 人车分流",8900,总价67-108(万/套),在售,"2室, 3室, 4室",建面 81-113㎡
鸿升·江门玉兰花园,鹤山市,鹤山市,鹤城大道088号,"楼盘, 低单价, 人车分流, 大型社区",5500,总价46-64(万/套),在售,"2室, 3室, 4室",建面 70-116㎡
香缤天玺名苑,高明,荷城,佛山高明荷城沿江路456号,"佛山楼盘, 车位充足, 人车分流, 品牌房企",6000,总价54-84(万/套),在售,"2室, 3室",建面 85-123㎡
中梁壹号院,端州区,北岭,学院路中梁壹号院,"楼盘, 绿化率高, 人车分流, 品牌房企",7500,总价130-160(万/套),在售,"4室, 5室",建面 96-180㎡
金融街·顺德金悦府,顺德,陈村,广东省佛山市顺德区陈村镇横三路弼教段2号,"佛山楼盘, 低总价, 车位充足, 绿化率高",13000,总价130-240(万/套),在售,"3室, 4室",建面 88-138㎡
广域西江华府,三水,白坭,三水区白坭镇人民东街30号,"佛山楼盘, 低单价, 低总价, 人车分流",5500,总价13.8-16.8(万/套),在售,1室,建面 28-31㎡
中梁星图,南海,西樵,南海区西樵镇樵誉路3号,"佛山楼盘, 低单价, 低总价, 人车分流",8500,总价76-95(万/套),在售,"3室, 4室",建面 89-128㎡
勤天熹园,高明,荷城,高明区西江新城荷香路与怡乐路交汇处,"佛山楼盘, 人车分流, 小型社区, 品牌房企",8300,总价65-90(万/套),在售,"2室, 3室",建面 75-109㎡
黎明嘉园,禅城,澜石,黎明路黎明嘉园,"佛山楼盘, 人车分流, 封闭管理, 近地铁",17500,总价159-188(万/套),在售,3室,建面 94-111㎡
怡翠晋盛,顺德,乐从,顺德区乐从镇东平居委会佛山新城富华路7号,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",20000,总价260-575(万/套),在售,4室,建面 101-364㎡
鸿升·春江明月（春江明月花园）,鹤山市,鹤山市,西江大堤鸿升·春江明月,"楼盘, 人车分流, 大型社区, 大平层",7500,总价60-198(万/套),在售,"3室, 4室, 5室",建面 83-189㎡
时代全球创客小镇,南海,大沥,广东省佛山市南海区桂鸿大道,"佛山楼盘, 人车分流, 大型社区, 品牌房企",26000,总价230-800(万/套),在售,"3室, 4室",建面 96-239㎡
新城盛悦之光,顺德,陈村,顺德区陈村镇赤花社区勤政东路31号,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",19000,总价160-220(万/套),在售,"3室, 4室",建面 85-115㎡
中交滨湖雅郡,四会,大旺,肇庆市四会市大旺大道与曙光街东北侧,"楼盘, 绿化率高, 人车分流, 国央企",6600,总价75-135(万/套),在售,"3室, 4室",建面 85-168㎡
方直星耀国际,顺德,容桂,顺德区容边社区天河路,"佛山楼盘, 低单价, 低总价, 人车分流",9800,总价90-140(万/套),在售,"2室, 3室, 4室",建面 89-127㎡
美的卓越好时光,顺德,北滘,顺德区北滘镇裕和路（广佛环线北滘站旁）,"佛山楼盘, 特价好房, 低总价, 人车分流",13300,总价110-235(万/套),在售,"2室, 4室",建面 82-124㎡
新希望悦珑湾,顺德,陈村,广州南·三龙湾·7号线陈村TOD万达旁,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",17500,总价133-252(万/套),在售,"1室, 2室, 3室",建面 25-125㎡
美的·东樾湾,南海,黄岐,佛山市南海区里水镇里水大道南138号,"佛山楼盘, 车位充足, 人车分流, 品牌房企",19500,总价350(万/套),在售,4室,建面 85-145㎡
