标题,地区,位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
广州白云站.金街,白云,同德围,在售,55000,1室,60.0,"人车分流, 封闭管理, 国央企, 品牌房企",325.0,10.915088464214607,5.783825182329737,4.0943445622221
云瀚府,越秀,东川路,在售,43000,2室,55.5,"车位充足, 人车分流, 品牌房企, 近地铁",238.5,10.668955394675699,5.474369310328396,4.0163830207523885
万博企业中心,番禺,汉溪长隆,在售,40000,10室,1726.0,"车位充足, 人车分流, 国央企, 品牌房企",7000.0,10.596634733096073,8.85366542803745,7.453561871643373
广汇新世界金融中心,增城,凤凰城,在售,20000,4室,108.0,"车位充足, 人车分流, 近地铁, 地铁沿线",650.0,9.903487552536127,6.476972362889683,4.68213122712422
白云堡悦融居,白云,东平,在售,22000,5室,366.5,"车位充足, 人车分流, 置换改善, 地铁沿线",1045.0,9.998797732340453,6.951772164398911,5.903998521326706
从化城投天悦湾,从化,鳌头镇,在售,6000,2室,81.5,"低单价, 低总价, 绿化率高, 人车分流",50.5,8.699514748210191,3.9219733362813143,4.400603020246817
中恒海晖城,南海,小塘,在售,9500,3室,101.0,"佛山楼盘, 低单价, 低总价, 绿化率高",127.5,9.159047077588632,4.848116364598481,4.61512051684126
泷景花园,禅城,澜石,在售,17500,4室,137.0,"佛山楼盘, 人车分流, 大型社区, 品牌房企",280.0,9.769956159911606,5.634789603169249,4.919980925828125
太平洋国际花园,顺德,陈村,在售,16000,3室,142.5,"佛山楼盘, 低总价, 绿化率高, 人车分流",415.0,9.680344001221918,6.028278520230698,4.959341999708705
嘉濠雅苑,顺德,北滘,在售,10500,2室,88.5,"佛山楼盘, 低单价, 低总价, 人车分流",100.0,9.259130536145614,4.605170185988092,4.483002552013883
天晟·海琴湾,南海,丹灶,在售,8500,4室,171.5,"佛山楼盘, 低单价, 车位充足, 绿化率高",177.5,9.047821442478408,5.178970608915471,5.144583266605995
光明花半里,南海,罗村,在售,12000,3室,138.5,"佛山楼盘, 低单价, 低总价, 人车分流",131.5,9.392661928770137,4.879006851617819,4.930870325627393
珠水豪庭,南海,黄岐,在售,32000,4室,154.0,"佛山楼盘, 人车分流, 大型社区, 入户花园",635.0,10.373491181781864,6.453624998892692,5.0369526024136295
中信山语湖,南海,里水,在售,9500,4室,128.5,"佛山楼盘, 低单价, 低总价, 人车分流",130.5,9.159047077588632,4.871373226762748,4.855928904335275
美立方花园,南海,狮山,在售,13000,2室,116.5,"佛山楼盘, 低单价, 低总价, 人车分流",148.0,9.472704636443673,4.997212273764115,4.757891273005756
东圣维拉,顺德,容桂,在售,9000,4室,128.0,"佛山楼盘, 低单价, 低总价, 绿化率高",158.0,9.104979856318357,5.062595033026967,4.852030263919617
广佛新世界,南海,大沥,在售,15000,4室,116.0,"佛山楼盘, 低总价, 绿化率高, 低密居所",217.5,9.615805480084347,5.382198850528739,4.7535901911063645
藏珑华府,顺德,陈村,在售,15000,2室,133.0,"佛山楼盘, 低总价, 绿化率高, 人车分流",270.0,9.615805480084347,5.598421958998375,4.890349128221754
博雅滨江,三水,西南街道,在售,8800,4室,230.5,"佛山楼盘, 车位充足, 绿化率高, 品牌房企",205.0,9.082507000466299,5.3230099791384085,5.440250862436703
名铸家园,顺德,勒流,在售,11800,4室,144.0,"佛山楼盘, 低单价, 低总价, 车位充足",182.0,9.375854810453756,5.204006687076795,4.969813299576001
美的鹭湖森林度假区,高明,杨和,在售,8900,2室,96.0,"佛山楼盘, 绿化率高, 低密居所, 高品质小区",77.69999999999999,9.093806555720231,4.3528552573736015,4.564348191467836
鸿安花园,三水,北江新区,在售,8300,3室,117.0,"佛山楼盘, 低单价, 人车分流, 大型社区",108.0,9.02401079378469,4.68213122712422,4.762173934797756
欧浦花城,高明,杨和,在售,6000,3室,106.0,"佛山楼盘, 绿化率高, 人车分流, 公交直达",61.0,8.699514748210191,4.110873864173311,4.663439094112067
明智雅苑,三水,云东海街道,在售,7500,4室,127.5,"佛山楼盘, 低单价, 绿化率高, 低密居所",125.0,8.922658299524402,4.8283137373023015,4.848116364598481
海骏达康格斯花园,顺德,大良西北区,在售,9500,4室,120.5,"佛山楼盘, 低单价, 低总价, 绿化率高",194.0,9.159047077588632,5.267858159063328,4.791649752930709
丽日坚美森林湖,三水,云东海街道,在售,7300,4室,133.0,"佛山楼盘, 低单价, 车位充足, 绿化率高",97.5,8.895629627136483,4.579852378003801,4.890349128221754
丽日坚美森林湖,三水,云东海街道,在售,12000,4室,285.0,"佛山楼盘, 低单价, 绿化率高, 人车分流",350.0,9.392661928770137,5.857933154483459,5.652489180268651
金钻华府,顺德,乐从,在售,11000,2室,63.5,"佛山楼盘, 低单价, 低总价, 人车分流",85.0,9.305650551780507,4.442651256490317,4.151039905898646
圣德嘉园,禅城,南庄,在售,7500,3室,96.5,"佛山楼盘, 低单价, 低总价, 人车分流",81.5,8.922658299524402,4.400603020246817,4.56954300834494
美的西江府,顺德,龙江,在售,8300,4室,116.0,"佛山楼盘, 低单价, 低总价, 绿化率高",179.0,9.02401079378469,5.187385805840755,4.7535901911063645
天晟·海琴湾,南海,丹灶,在售,23000,6室,530.5,"佛山楼盘, 车位充足, 绿化率高, 置换改善",1350.0,10.043249494911286,7.2078598714324755,6.2738199580540375
金地艺境天成,三水,大塘,在售,6500,2室,112.5,"佛山楼盘, 低单价, 低总价, 人车分流",77.5,8.779557455883728,4.350277936359301,4.722953221644475
中粮珑湾祥云,禅城,湖景,在售,22000,4室,134.0,"佛山楼盘, 人车分流, 小型社区, 国央企",255.0,9.998797732340453,5.541263545158426,4.897839799950911
望德8号,禅城,湖景,在售,15500,4室,102.0,"佛山楼盘, 低总价, 人车分流, 大型社区",167.5,9.648595302907339,5.120983351265121,4.624972813284271
金融街金悦府,三水,云东海街道,在售,9000,3室,127.5,"佛山楼盘, 绿化率高, 人车分流, 国央企",125.5,9.104979856318357,4.832305758571839,4.848116364598481
中雅江湾,顺德,乐从,在售,13000,4室,119.0,"佛山楼盘, 低总价, 绿化率高, 人车分流",160.0,9.472704636443673,5.075173815233827,4.77912349311153
坚美园,鹤山市,鹤山市,在售,6600,4室,118.5,"楼盘, 绿化率高, 大型社区, 品牌房企",276.5,8.794824928014517,5.6222108209623896,4.774912960575186
南景湾山水城,鹤山市,鹤山市,在售,5988,4室,146.5,"楼盘, 绿化率高, 人车分流, 公交直达",93.0,8.69751274553952,4.532599493153256,4.987025428457122
中宝温馨家园,鹤山市,鹤山市,在售,5800,3室,114.0,"楼盘, 绿化率高, 人车分流, 品牌房企",75.0,8.66561319653451,4.31748811353631,4.736198448394496
电建地产·洺悦半岛,顺德,勒流,在售,9500,4室,138.0,"佛山楼盘, 低单价, 低总价, 绿化率高",133.5,9.159047077588632,4.894101477840304,4.927253685157205
雲璟上筑,顺德,伦教,在售,7500,1室,32.5,"佛山楼盘, 低单价, 低总价, 小型社区",34.5,8.922658299524402,3.5409593240373143,3.481240089335692
金地艺境天成,三水,大塘,在售,12000,4室,175.5,"佛山楼盘, 低单价, 低总价, 人车分流",195.0,9.392661928770137,5.272999558563747,5.167639042905921
保利新汇城,禅城,祖庙,在售,12500,4室,104.0,"佛山楼盘, 低单价, 低总价, 人车分流",135.0,9.433483923290392,4.90527477843843,4.6443908991413725
金地艺境天成,三水,大塘,在售,9000,1室,133.0,"佛山楼盘, 低单价, 低总价, 品牌房企",133.0,9.104979856318357,4.890349128221754,4.890349128221754
创雄华府,三水,北江新区,在售,8800,4室,114.5,"佛山楼盘, 低总价, 小型社区, 封闭管理",104.0,9.082507000466299,4.6443908991413725,4.740574822994295
桂南星晴公馆,南海,桂城,在售,18500,3室,94.5,"佛山楼盘, 人车分流, 小型社区, 贴心物业",177.5,9.825526011066415,5.178970608915471,4.548599834499697
泷景花园,禅城,澜石,在售,12000,2室,53.0,"佛山楼盘, 低总价, 人车分流, 大型社区",59.0,9.392661928770137,4.07753744390572,3.970291913552122
中国铁建领秀公馆,顺德,北滘,在售,13000,3室,116.0,"佛山楼盘, 绿化率高, 人车分流, 国央企",205.0,9.472704636443673,5.3230099791384085,4.7535901911063645
华业丽景花园,鹤山市,鹤山市,在售,5200,3室,106.5,"楼盘, 低单价, 绿化率高, 人车分流",60.3,8.556413904569519,4.09933210373314,4.66814498514948
碧桂园天麓湖,鹤山市,鹤山市,在售,6000,3室,102.0,"楼盘, 车位充足, 绿化率高, 置换改善",70.0,8.699514748210191,4.248495242049359,4.624972813284271
中交·诚湾悦府,顺德,杏坛,在售,11000,4室,110.5,"佛山楼盘, 低单价, 低总价, 车位充足",132.5,9.305650551780507,4.886582645426277,4.705015520957808
保利中交大都汇,禅城,绿岛湖,在售,13000,4室,108.5,"佛山楼盘, 低单价, 低总价, 绿化率高",190.0,9.472704636443673,5.247024072160486,4.686750172980514
阅海,南海,里水,在售,13000,3室,271.0,"佛山楼盘, 低单价, 低总价, 人车分流",200.0,9.472704636443673,5.298317366548036,5.602118820879701
富佳和院,南海,大沥,在售,17000,3室,102.0,"佛山楼盘, 车位充足, 人车分流, 贴心物业",188.5,9.740968623038354,5.2390980068880655,4.624972813284271
润立华庭,四会,大旺,在售,5500,3室,101.5,"楼盘, 低单价, 低总价, 人车分流",68.5,8.612503371220562,4.22683374526818,4.620058798481842
君山新城,四会,大旺,在售,6400,3室,104.5,"楼盘, 低总价, 绿化率高, 人车分流",77.5,8.764053269347762,4.350277936359301,4.6491870714048655
御东方,四会,大旺,在售,6500,3室,122.5,"楼盘, 人车分流, 大型社区, 健身跑道",88.65,8.779557455883728,4.484696032520217,4.808111029984782
唯美·臻岸华府,顺德,大良北区,在售,15000,4室,166.0,"佛山楼盘, 车位充足, 人车分流, 健身跑道",297.5,9.615805480084347,5.695414224985685,5.111987788356544
金融街仙湖悦府,南海,丹灶,在售,10000,4室,123.0,"佛山楼盘, 低单价, 低总价, 车位充足",120.0,9.210340371976184,4.787491742782046,4.812184355372417
东澳御园,四会,大旺,在售,6000,4室,88.5,"楼盘, 低单价, 绿化率高, 人车分流",52.5,8.699514748210191,3.960813169597578,4.483002552013883
实地紫藤公馆,顺德,容桂,在售,9000,4室,110.0,"佛山楼盘, 低单价, 低总价, 车位充足",117.5,9.104979856318357,4.7664383335842135,4.700480365792417
君临天下（富士花园）,高要区,高要,在售,5000,3室,102.5,"楼盘, 低单价, 低总价, 大型社区",54.9,8.517193191416238,4.005513348515485,4.629862798578463
星湖裕园,端州区,端州,在售,9000,5室,454.5,"楼盘, 车位充足, 人车分流, 置换改善",477.5,9.104979856318357,6.168564159920785,6.119197913617533
华福·珑熹水岸,高明,荷城,在售,7500,4室,118.5,"佛山楼盘, 人车分流, 大型社区, 品牌房企",98.5,8.922658299524402,4.590056548178043,4.774912960575186
天宝豪庭,顺德,杏坛,在售,8800,3室,108.0,"佛山楼盘, 低单价, 低总价, 人车分流",111.5,9.082507000466299,4.7140245909001735,4.68213122712422
保利天际,南海,千灯湖,在售,13000,1室,103.5,"佛山楼盘, 人车分流, 小型社区, 国央企",190.0,9.472704636443673,5.247024072160486,4.639571612705423
中交白兰春晓,禅城,祖庙,在售,17000,3室,102.5,"佛山楼盘, 人车分流, 大型社区, 国央企",177.5,9.740968623038354,5.178970608915471,4.629862798578463
鹏瑞皓玥湾,顺德,大良新区,在售,42000,4室,315.0,"佛山楼盘, 车位充足, 人车分流, 品牌房企",1295.0,10.645424897265505,7.166265974133638,5.752572638825633
保利华侨城云禧,南海,三山,在售,21000,4室,129.0,"佛山楼盘, 人车分流, 大型社区, 国央企",317.5,9.95227771670556,5.760477818332746,4.859812404361672
保利时光印象,顺德,容桂,在售,11000,3室,82.5,"佛山楼盘, 低单价, 低总价, 人车分流",105.0,9.305650551780507,4.653960350157523,4.412798293340635
绿城顺德杨柳郡,顺德,北滘,在售,16000,4室,109.0,"佛山楼盘, 车位充足, 人车分流, 国央企",180.0,9.680344001221918,5.19295685089021,4.6913478822291435
鸿业季华天地,禅城,湖景,在售,12000,2室,71.5,"佛山楼盘, 低单价, 低总价, 人车分流",91.0,9.392661928770137,4.51085950651685,4.269697449699962
瀚康华府,顺德,均安,在售,7500,4室,104.5,"佛山楼盘, 低单价, 低总价, 绿化率高",82.0,8.922658299524402,4.406719247264253,4.6491870714048655
复地公园和光,禅城,石湾,在售,14000,2室,95.0,"佛山楼盘, 低总价, 绿化率高, 人车分流",185.0,9.546812608597396,5.220355825078324,4.553876891600541
鹤山帝豪居,鹤山市,鹤山市,在售,8000,4室,116.5,"楼盘, 车位充足, 绿化率高, 公交直达",87.0,8.987196820661973,4.465908118654584,4.757891273005756
美的云悦江山,顺德,北滘,在售,16500,3室,112.5,"佛山楼盘, 低总价, 绿化率高, 人车分流",199.0,9.711115659888671,5.293304824724492,4.722953221644475
星星凯旋国际,禅城,祖庙,在售,11000,4室,106.0,"佛山楼盘, 低单价, 人车分流, 大型社区",158.0,9.305650551780507,5.062595033026967,4.663439094112067
碧桂园云樾金沙,南海,里水,在售,16000,4室,105.0,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",229.5,9.680344001221918,5.4359030295006,4.653960350157523
凯蓝锦伦华庭,顺德,伦教,在售,11500,3室,76.0,"佛山楼盘, 低单价, 低总价, 人车分流",105.0,9.350102314351341,4.653960350157523,4.330733340286331
时代灯湖天境,南海,桂城,在售,21000,4室,97.0,"佛山楼盘, 优惠楼盘, 人车分流, 大型社区",220.0,9.95227771670556,5.393627546352362,4.574710978503383
共和宝丰新城,鹤山市,鹤山市,在售,5800,4室,110.0,"楼盘, 人车分流, 封闭管理, 贴心物业",63.0,8.66561319653451,4.143134726391533,4.700480365792417
中建顺控·云熙悦城,顺德,乐从,在售,10000,3室,100.0,"佛山楼盘, 低单价, 低总价, 绿化率高",115.0,9.210340371976184,4.74493212836325,4.605170185988092
深业旗山雅苑,南海,里水,在售,14000,4室,99.0,"佛山楼盘, 低总价, 人车分流, 小型社区",140.0,9.546812608597396,4.941642422609304,4.59511985013459
新希望金沙公馆,南海,金沙洲,在售,23000,4室,101.5,"佛山楼盘, 人车分流, 品牌房企, 健身跑道",245.0,10.043249494911286,5.501258210544727,4.620058798481842
中交泷湾云城,南海,三山,在售,20000,3室,112.0,"佛山楼盘, 人车分流, 大型社区, 国央企",219.0,9.903487552536127,5.389071729816501,4.718498871295094
金辉辉逸云庭,禅城,南庄,在售,11000,3室,91.0,"佛山楼盘, 特价好房, 低单价, 绿化率高",100.0,9.305650551780507,4.605170185988092,4.51085950651685
金辉辉逸云庭,禅城,南庄,在售,25000,4室,133.5,"佛山楼盘, 低总价, 人车分流, 大型社区",350.0,10.126631103850338,5.857933154483459,4.894101477840304
星星凯旋国际,禅城,祖庙,在售,28000,4室,108.0,"佛山楼盘, 人车分流, 大型社区, 品牌房企",3650.0,10.239959789157341,8.202482446576537,4.68213122712422
广佛新世界,南海,大沥,在售,28000,3室,672.0,"佛山楼盘, 绿化率高, 人车分流, 置换改善",1881.0,10.239959789157341,7.53955882930103,6.51025834052315
新仕名府,顺德,伦教,在售,9500,4室,81.0,"佛山楼盘, 低单价, 车位充足, 人车分流",112.5,9.159047077588632,4.722953221644475,4.394449154672439
春风名苑,顺德,乐从,在售,16500,2室,94.5,"佛山楼盘, 低总价, 人车分流, 小型社区",162.5,9.711115659888671,5.090678001769792,4.548599834499697
中建映湖万黛,顺德,乐从,在售,13000,3室,106.5,"佛山楼盘, 特价好房, 低总价, 人车分流",142.0,9.472704636443673,4.955827057601261,4.66814498514948
新仕名府,顺德,伦教,在售,12500,4室,124.0,"佛山楼盘, 低单价, 车位充足, 绿化率高",152.0,9.433483923290392,5.0238805208462765,4.820281565605037
金融街金悦郡,三水,云东海街道,在售,9300,3室,107.0,"佛山楼盘, 低总价, 人车分流, 大型社区",105.5,9.137769679141348,4.658710952916121,4.672828834461906
欣雅苑,高明,荷城,在售,6300,4室,103.0,"佛山楼盘, 人车分流, 小型社区, 品牌房企",71.0,8.748304912379623,4.2626798770413155,4.634728988229636
鸿升春风里,鹤山市,鹤山市,在售,5500,2室,80.0,"楼盘, 低单价, 低总价, 绿化率高",52.1,8.612503371220562,3.9531649487593215,4.382026634673881
天樾水岸,禅城,澜石,在售,20000,3室,138.0,"佛山楼盘, 绿化率高, 人车分流, 多轨交汇",250.0,9.903487552536127,5.521460917862246,4.927253685157205
润立丽苑,南海,西樵,在售,7000,2室,91.5,"佛山楼盘, 低单价, 低总价, 人车分流",76.5,8.85366542803745,4.33729074083249,4.516338972281476
颐安·雍悦华府,三水,北江新区,在售,8800,3室,118.0,"佛山楼盘, 人车分流, 封闭管理, 品牌房企",162.0,9.082507000466299,5.087596335232384,4.770684624465665
中建壹品·湖北文旅·东湖学府,顺德,容桂,在售,12000,3室,116.0,"佛山楼盘, 低单价, 低总价, 车位充足",162.0,9.392661928770137,5.087596335232384,4.7535901911063645
美的·金地·新明珠·凤翔湾壹号,禅城,南庄,在售,14500,4室,112.5,"佛山楼盘, 低总价, 人车分流, 大型社区",179.0,9.581903928408666,5.187385805840755,4.722953221644475
圣淘湾·美丽院子,顺德,龙江,在售,8100,3室,166.0,"佛山楼盘, 低单价, 低总价, 绿化率高",191.5,8.99961934066053,5.2548878086207,5.111987788356544
广域西江华府,三水,白坭,在售,7000,3室,87.5,"佛山楼盘, 低单价, 低总价, 人车分流",60.0,8.85366542803745,4.0943445622221,4.471638793363569
樵顺高建广场,高明,荷城,在售,5300,2室,111.5,"佛山楼盘, 低单价, 低总价, 人车分流",61.5,8.575462099540212,4.119037174812473,4.7140245909001735
保利阅江台江缦,顺德,陈村,在售,20000,4室,183.5,"佛山楼盘, 车位充足, 绿化率高, 国央企",580.0,9.903487552536127,6.363028103540465,5.212214667494625
龙湖江与城,顺德,伦教,在售,12000,2室,103.5,"佛山楼盘, 低单价, 低总价, 人车分流",108.0,9.392661928770137,4.68213122712422,4.639571612705423
美的世茂滨江壹号,顺德,大良新区,在售,15000,4室,119.5,"佛山楼盘, 低总价, 车位充足, 人车分流",200.0,9.615805480084347,5.298317366548036,4.783316371371566
凯蓝滨江名门花园,顺德,容桂,在售,12000,4室,90.5,"佛山楼盘, 低单价, 低总价, 人车分流",130.0,9.392661928770137,4.867534450455582,4.505349850705881
华侨城·纯水岸,鹤山市,鹤山市,在售,4688,3室,82.5,"楼盘, 低单价, 低总价, 低密居所",44.0,8.452761331256848,3.784189633918261,4.412798293340635
保利清能和府,三水,云东海街道,在售,8900,3室,97.0,"佛山楼盘, 低总价, 绿化率高, 人车分流",87.5,9.093806555720231,4.471638793363569,4.574710978503383
鸿升·江门玉兰花园,鹤山市,鹤山市,在售,5500,3室,93.0,"楼盘, 低单价, 人车分流, 大型社区",55.0,8.612503371220562,4.007333185232471,4.532599493153256
香缤天玺名苑,高明,荷城,在售,6000,2室,104.0,"佛山楼盘, 车位充足, 人车分流, 品牌房企",69.0,8.699514748210191,4.23410650459726,4.6443908991413725
中梁壹号院,端州区,北岭,在售,7500,4室,138.0,"楼盘, 绿化率高, 人车分流, 品牌房企",145.0,8.922658299524402,4.976733742420574,4.927253685157205
金融街·顺德金悦府,顺德,陈村,在售,13000,4室,113.0,"佛山楼盘, 低总价, 车位充足, 绿化率高",185.0,9.472704636443673,5.220355825078324,4.727387818712341
广域西江华府,三水,白坭,在售,5500,1室,29.5,"佛山楼盘, 低单价, 低总价, 人车分流",15.3,8.612503371220562,2.72785282839839,3.3843902633457743
中梁星图,南海,西樵,在售,8500,4室,108.5,"佛山楼盘, 低单价, 低总价, 人车分流",85.5,9.047821442478408,4.448516375942715,4.686750172980514
勤天熹园,高明,荷城,在售,8300,2室,92.0,"佛山楼盘, 人车分流, 小型社区, 品牌房企",77.5,9.02401079378469,4.350277936359301,4.5217885770490405
黎明嘉园,禅城,澜石,在售,17500,3室,102.5,"佛山楼盘, 人车分流, 封闭管理, 近地铁",173.5,9.769956159911606,5.156177599386914,4.629862798578463
怡翠晋盛,顺德,乐从,在售,20000,4室,232.5,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",417.5,9.903487552536127,6.0342845442909105,5.448890225027411
鸿升·春江明月（春江明月花园）,鹤山市,鹤山市,在售,7500,4室,136.0,"楼盘, 人车分流, 大型社区, 大平层",129.0,8.922658299524402,4.859812404361672,4.912654885736052
时代全球创客小镇,南海,大沥,在售,26000,4室,167.5,"佛山楼盘, 人车分流, 大型社区, 品牌房企",515.0,10.165851817003619,6.244166900663736,5.120983351265121
新城盛悦之光,顺德,陈村,在售,19000,4室,100.0,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",190.0,9.852194258148577,5.247024072160486,4.605170185988092
中交滨湖雅郡,四会,大旺,在售,6600,4室,126.5,"楼盘, 绿化率高, 人车分流, 国央企",105.0,8.794824928014517,4.653960350157523,4.840242308167575
方直星耀国际,顺德,容桂,在售,9800,3室,108.0,"佛山楼盘, 低单价, 低总价, 人车分流",115.0,9.190137664658664,4.74493212836325,4.68213122712422
美的卓越好时光,顺德,北滘,在售,13300,3室,103.0,"佛山楼盘, 特价好房, 低总价, 人车分流",172.5,9.495519314209846,5.150397236471415,4.634728988229636
新希望悦珑湾,顺德,陈村,在售,17500,2室,75.0,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",192.5,9.769956159911606,5.260096153727839,4.31748811353631
美的·东樾湾,南海,黄岐,在售,19500,4室,115.0,"佛山楼盘, 车位充足, 人车分流, 品牌房企",350.0,9.878169744551839,5.857933154483459,4.74493212836325
泰丰千玺湾,禅城,湖景,在售,24000,4室,138.0,"佛山楼盘, 人车分流, 封闭管理, 品牌房企",345.0,10.085809109330082,5.84354441703136,4.927253685157205
海伦堡·汇银·玖悦澜湾,禅城,南庄,在售,11500,2室,112.5,"佛山楼盘, 低单价, 低总价, 绿化率高",141.0,9.350102314351341,4.948759890378168,4.722953221644475
中南云锦,三水,乐平,在售,9300,2室,94.5,"佛山楼盘, 低总价, 绿化率高, 人车分流",80.5,9.137769679141348,4.388257184424518,4.548599834499697
黎明嘉园,禅城,澜石,在售,8300,2室,124.5,"佛山楼盘, 低单价, 低总价, 近地铁",137.0,9.02401079378469,4.919980925828125,4.824305715904762
明智雅苑,三水,云东海街道,在售,16500,5室,399.0,"佛山楼盘, 车位充足, 绿化率高, 置换改善",586.0,9.711115659888671,6.373319789577012,5.988961416889864
正荣力高·观山府,南海,西樵,在售,11000,2室,104.5,"佛山楼盘, 低单价, 低总价, 人车分流",120.0,9.305650551780507,4.787491742782046,4.6491870714048655
金地熙悦,顺德,北滘,在售,12500,2室,91.5,"佛山楼盘, 低单价, 低总价, 绿化率高",92.5,9.433483923290392,4.52720864451838,4.516338972281476
建发德信三堂院,南海,大沥,在售,17000,3室,115.0,"佛山楼盘, 人车分流, 大型社区, 国央企",210.0,9.740968623038354,5.3471075307174685,4.74493212836325
信业汇景台,顺德,龙江,在售,10000,3室,104.0,"佛山楼盘, 低单价, 低总价, 人车分流",128.0,9.210340371976184,4.852030263919617,4.6443908991413725
爱情·印玥万璟府,顺德,容桂,在售,9500,2室,86.0,"佛山楼盘, 低单价, 低总价, 人车分流",77.0,9.159047077588632,4.343805421853684,4.454347296253507
建发融创和玺,三水,云东海街道,在售,15000,4室,121.0,"佛山楼盘, 人车分流, 国央企, 品牌房企",250.0,9.615805480084347,5.521460917862246,4.795790545596741
明日阳光,顺德,大良南区,在售,8000,4室,98.5,"佛山楼盘, 低单价, 低总价, 人车分流",86.5,8.987196820661973,4.460144413937834,4.590056548178043
嘉濠雅苑,顺德,北滘,在售,8500,1室,40.0,"佛山楼盘, 低单价, 人车分流, 小型社区",34.75,9.047821442478408,3.548179572010801,3.6888794541139363
粤海拾桂府,禅城,东平,在售,24000,4室,147.5,"佛山楼盘, 人车分流, 大型社区, 国央企",305.0,10.085809109330082,5.720311776607412,4.993828175779875
远洋北控天成,南海,里水,在售,14800,4室,106.5,"佛山楼盘, 低总价, 人车分流, 封闭管理",180.0,9.602382459752207,5.19295685089021,4.66814498514948
博源尚云府,三水,西南街道,在售,11000,4室,172.5,"佛山楼盘, 人车分流, 封闭管理, 品牌房企",225.0,9.305650551780507,5.41610040220442,5.150397236471415
观景华府,三水,云东海街道,在售,8500,3室,121.5,"佛山楼盘, 低总价, 绿化率高, 人车分流",105.5,9.047821442478408,4.658710952916121,4.799914262780603
万科璞悦山,南海,三山,在售,18500,4室,161.0,"佛山楼盘, 人车分流, 大型社区, 国央企",618.0,9.825526011066415,6.42648845745769,5.081404364984463
旭辉恒基铂仕湾,禅城,张槎,在售,15000,4室,113.0,"佛山楼盘, 人车分流, 封闭管理, 品牌房企",167.0,9.615805480084347,5.117993812416755,4.727387818712341
金地招商臻玥府,顺德,容桂,在售,10300,2室,97.0,"佛山楼盘, 低单价, 低总价, 人车分流",117.5,9.239899174217728,4.7664383335842135,4.574710978503383
美的滨湖学府,南海,里水,在售,17000,4室,194.0,"佛山楼盘, 人车分流, 小型社区, 品牌房企",260.0,9.740968623038354,5.560681631015528,5.267858159063328
大华紫樾府,禅城,张槎,在售,17500,3室,128.0,"佛山楼盘, 人车分流, 大型社区, 品牌房企",415.0,9.769956159911606,6.028278520230698,4.852030263919617
保利智慧云城,顺德,杏坛,在售,9800,4室,98.5,"佛山楼盘, 低单价, 低总价, 人车分流",100.0,9.190137664658664,4.605170185988092,4.590056548178043
岭南澳苑,三水,乐平,在售,6500,3室,89.0,"佛山楼盘, 低单价, 低总价, 绿化率高",62.0,8.779557455883728,4.127134385045092,4.48863636973214
信业·珀丽湾,高要区,高要,在售,4000,4室,113.0,"楼盘, 低单价, 低总价, 绿化率高",58.5,8.294049640102028,4.069026754237811,4.727387818712341
港龙滨江公园,顺德,伦教,在售,13500,4室,109.5,"佛山楼盘, 低总价, 人车分流, 封闭管理",163.0,9.51044496442652,5.093750200806762,4.695924549256556
金地中南新城大境,顺德,乐从,在售,12000,2室,91.5,"佛山楼盘, 低单价, 低总价, 人车分流",111.5,9.392661928770137,4.7140245909001735,4.516338972281476
华发滨江府,顺德,乐从,在售,17500,3室,114.5,"佛山楼盘, 人车分流, 封闭管理, 国央企",227.5,9.769956159911606,5.427150238391005,4.740574822994295
保利铂悦府,顺德,容桂,在售,10500,4室,117.0,"佛山楼盘, 低单价, 低总价, 人车分流",130.5,9.259130536145614,4.871373226762748,4.762173934797756
安联尚璟府,高明,荷城,在售,10000,2室,107.0,"佛山楼盘, 人车分流, 封闭管理, 国央企",120.0,9.210340371976184,4.787491742782046,4.672828834461906
恩歌源·享城,鼎湖区,鼎湖,在售,4800,4室,118.5,"楼盘, 低单价, 低总价, 人车分流",63.0,8.476371196895983,4.143134726391533,4.774912960575186
义兴壹品,四会,大旺,在售,5500,3室,107.0,"楼盘, 低单价, 低总价, 绿化率高",58.0,8.612503371220562,4.060443010546419,4.672828834461906
凯蓝江畔名轩,顺德,容桂,在售,10000,2室,69.5,"佛山楼盘, 低单价, 低总价, 绿化率高",81.0,9.210340371976184,4.394449154672439,4.241326752570746
建投恒福壹号,禅城,湖景,在售,33000,4室,206.5,"佛山楼盘, 车位充足, 人车分流, 近地铁",735.0,10.404262840448617,6.5998704992128365,5.330300412401088
灯湖首府,禅城,祖庙,在售,15000,2室,88.5,"佛山楼盘, 低总价, 人车分流, 小型社区",135.0,9.615805480084347,4.90527477843843,4.483002552013883
鹤山·中汇名庭,鹤山市,鹤山市,在售,7800,4室,110.0,"楼盘, 车位充足, 人车分流, 公交直达",97.5,8.961879012677683,4.579852378003801,4.700480365792417
新华城,鹤山市,鹤山市,在售,7500,3室,145.5,"楼盘, 绿化率高, 人车分流, 公交直达",115.5,8.922658299524402,4.749270529961848,4.980176086611547
远大建管帝景湾,顺德,伦教,在售,13000,3室,112.5,"佛山楼盘, 低总价, 人车分流, 大型社区",128.0,9.472704636443673,4.852030263919617,4.722953221644475
