标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,对数均价/平方米每元,对数总价,对数面积,是否是人车分流,是否是车位充足,是否是品牌房企,是否是绿化率高,是否是低总价,是否是国央企,是否是佛山楼盘,是否是低单价
中雅江湾,顺德,乐从,在售,13000,4室,119.0,160.0,9.472704636443673,5.075173815233827,4.77912349311153,1,0,0,1,1,0,1,0
坚美园,鹤山市,鹤山市,在售,6600,4室,118.5,276.5,8.794824928014517,5.6222108209623896,4.774912960575186,0,0,1,1,0,0,0,0
南景湾山水城,鹤山市,鹤山市,在售,5988,4室,146.5,93.0,8.69751274553952,4.532599493153256,4.987025428457122,1,0,0,1,0,0,0,0
中宝温馨家园,鹤山市,鹤山市,在售,5800,3室,114.0,75.0,8.66561319653451,4.31748811353631,4.736198448394496,1,0,1,1,0,0,0,0
电建地产·洺悦半岛,顺德,勒流,在售,9500,4室,138.0,133.5,9.159047077588632,4.894101477840304,4.927253685157205,0,0,0,1,1,0,1,1
雲璟上筑,顺德,伦教,在售,7500,1室,32.5,34.5,8.922658299524402,3.5409593240373143,3.481240089335692,0,0,0,0,1,0,1,1
金地艺境天成,三水,大塘,在售,12000,4室,175.5,195.0,9.392661928770137,5.272999558563747,5.167639042905921,1,0,0,0,1,0,1,1
保利新汇城,禅城,祖庙,在售,12500,4室,104.0,135.0,9.433483923290392,4.90527477843843,4.6443908991413725,1,0,0,0,1,0,1,1
金地艺境天成,三水,大塘,在售,9000,1室,133.0,133.0,9.104979856318357,4.890349128221754,4.890349128221754,0,0,1,0,1,0,1,1
创雄华府,三水,北江新区,在售,8800,4室,114.5,104.0,9.082507000466299,4.6443908991413725,4.740574822994295,0,0,0,0,1,0,1,0
桂南星晴公馆,南海,桂城,在售,18500,3室,94.5,177.5,9.825526011066415,5.178970608915471,4.548599834499697,1,0,0,0,0,0,1,0
泷景花园,禅城,澜石,在售,12000,2室,53.0,59.0,9.392661928770137,4.07753744390572,3.970291913552122,1,0,0,0,1,0,1,0
中国铁建领秀公馆,顺德,北滘,在售,13000,3室,116.0,205.0,9.472704636443673,5.3230099791384085,4.7535901911063645,1,0,0,1,0,1,1,0
华业丽景花园,鹤山市,鹤山市,在售,5200,3室,106.5,60.3,8.556413904569519,4.09933210373314,4.66814498514948,1,0,0,1,0,0,0,1
碧桂园天麓湖,鹤山市,鹤山市,在售,6000,3室,102.0,70.0,8.699514748210191,4.248495242049359,4.624972813284271,0,1,0,1,0,0,0,0
中交·诚湾悦府,顺德,杏坛,在售,11000,4室,110.5,132.5,9.305650551780507,4.886582645426277,4.705015520957808,0,1,0,0,1,0,1,1
保利中交大都汇,禅城,绿岛湖,在售,13000,4室,108.5,190.0,9.472704636443673,5.247024072160486,4.686750172980514,0,0,0,1,1,0,1,1
阅海,南海,里水,在售,13000,3室,271.0,200.0,9.472704636443673,5.298317366548036,5.602118820879701,1,0,0,0,1,0,1,1
富佳和院,南海,大沥,在售,17000,3室,102.0,188.5,9.740968623038354,5.2390980068880655,4.624972813284271,1,1,0,0,0,0,1,0
润立华庭,四会,大旺,在售,5500,3室,101.5,68.5,8.612503371220562,4.22683374526818,4.620058798481842,1,0,0,0,1,0,0,1
君山新城,四会,大旺,在售,6400,3室,104.5,77.5,8.764053269347762,4.350277936359301,4.6491870714048655,1,0,0,1,1,0,0,0
御东方,四会,大旺,在售,6500,3室,122.5,88.65,8.779557455883728,4.484696032520217,4.808111029984782,1,0,0,0,0,0,0,0
唯美·臻岸华府,顺德,大良北区,在售,15000,4室,166.0,297.5,9.615805480084347,5.695414224985685,5.111987788356544,1,1,0,0,0,0,1,0
金融街仙湖悦府,南海,丹灶,在售,10000,4室,123.0,120.0,9.210340371976184,4.787491742782046,4.812184355372417,0,1,0,0,1,0,1,1
东澳御园,四会,大旺,在售,6000,4室,88.5,52.5,8.699514748210191,3.960813169597578,4.483002552013883,1,0,0,1,0,0,0,1
实地紫藤公馆,顺德,容桂,在售,9000,4室,110.0,117.5,9.104979856318357,4.7664383335842135,4.700480365792417,0,1,0,0,1,0,1,1
君临天下（富士花园）,高要区,高要,在售,5000,3室,102.5,54.9,8.517193191416238,4.005513348515485,4.629862798578463,0,0,0,0,1,0,0,1
星湖裕园,端州区,端州,在售,9000,5室,454.5,477.5,9.104979856318357,6.168564159920785,6.119197913617533,1,1,0,0,0,0,0,0
华福·珑熹水岸,高明,荷城,在售,7500,4室,118.5,98.5,8.922658299524402,4.590056548178043,4.774912960575186,1,0,1,0,0,0,1,0
天宝豪庭,顺德,杏坛,在售,8800,3室,108.0,111.5,9.082507000466299,4.7140245909001735,4.68213122712422,1,0,0,0,1,0,1,1
保利天际,南海,千灯湖,在售,13000,1室,103.5,190.0,9.472704636443673,5.247024072160486,4.639571612705423,1,0,0,0,0,1,1,0
中交白兰春晓,禅城,祖庙,在售,17000,3室,102.5,177.5,9.740968623038354,5.178970608915471,4.629862798578463,1,0,0,0,0,1,1,0
鹏瑞皓玥湾,顺德,大良新区,在售,42000,4室,315.0,1295.0,10.645424897265505,7.166265974133638,5.752572638825633,1,1,1,0,0,0,1,0
保利华侨城云禧,南海,三山,在售,21000,4室,129.0,317.5,9.95227771670556,5.760477818332746,4.859812404361672,1,0,0,0,0,1,1,0
保利时光印象,顺德,容桂,在售,11000,3室,82.5,105.0,9.305650551780507,4.653960350157523,4.412798293340635,1,0,0,0,1,0,1,1
绿城顺德杨柳郡,顺德,北滘,在售,16000,4室,109.0,180.0,9.680344001221918,5.19295685089021,4.6913478822291435,1,1,0,0,0,1,1,0
鸿业季华天地,禅城,湖景,在售,12000,2室,71.5,91.0,9.392661928770137,4.51085950651685,4.269697449699962,1,0,0,0,1,0,1,1
瀚康华府,顺德,均安,在售,7500,4室,104.5,82.0,8.922658299524402,4.406719247264253,4.6491870714048655,0,0,0,1,1,0,1,1
复地公园和光,禅城,石湾,在售,14000,2室,95.0,185.0,9.546812608597396,5.220355825078324,4.553876891600541,1,0,0,1,1,0,1,0
鹤山帝豪居,鹤山市,鹤山市,在售,8000,4室,116.5,87.0,8.987196820661973,4.465908118654584,4.757891273005756,0,1,0,1,0,0,0,0
美的云悦江山,顺德,北滘,在售,16500,3室,112.5,199.0,9.711115659888671,5.293304824724492,4.722953221644475,1,0,0,1,1,0,1,0
星星凯旋国际,禅城,祖庙,在售,11000,4室,106.0,158.0,9.305650551780507,5.062595033026967,4.663439094112067,1,0,0,0,0,0,1,1
碧桂园云樾金沙,南海,里水,在售,16000,4室,105.0,229.5,9.680344001221918,5.4359030295006,4.653960350157523,1,0,1,1,0,0,1,0
凯蓝锦伦华庭,顺德,伦教,在售,11500,3室,76.0,105.0,9.350102314351341,4.653960350157523,4.330733340286331,1,0,0,0,1,0,1,1
时代灯湖天境,南海,桂城,在售,21000,4室,97.0,220.0,9.95227771670556,5.393627546352362,4.574710978503383,1,0,0,0,0,0,1,0
共和宝丰新城,鹤山市,鹤山市,在售,5800,4室,110.0,63.0,8.66561319653451,4.143134726391533,4.700480365792417,1,0,0,0,0,0,0,0
中建顺控·云熙悦城,顺德,乐从,在售,10000,3室,100.0,115.0,9.210340371976184,4.74493212836325,4.605170185988092,0,0,0,1,1,0,1,1
深业旗山雅苑,南海,里水,在售,14000,4室,99.0,140.0,9.546812608597396,4.941642422609304,4.59511985013459,1,0,0,0,1,0,1,0
新希望金沙公馆,南海,金沙洲,在售,23000,4室,101.5,245.0,10.043249494911286,5.501258210544727,4.620058798481842,1,0,1,0,0,0,1,0
中交泷湾云城,南海,三山,在售,20000,3室,112.0,219.0,9.903487552536127,5.389071729816501,4.718498871295094,1,0,0,0,0,1,1,0
金辉辉逸云庭,禅城,南庄,在售,11000,3室,91.0,100.0,9.305650551780507,4.605170185988092,4.51085950651685,0,0,0,1,0,0,1,1
金辉辉逸云庭,禅城,南庄,在售,25000,4室,133.5,350.0,10.126631103850338,5.857933154483459,4.894101477840304,1,0,0,0,1,0,1,0
星星凯旋国际,禅城,祖庙,在售,28000,4室,108.0,3650.0,10.239959789157341,8.202482446576537,4.68213122712422,1,0,1,0,0,0,1,0
广佛新世界,南海,大沥,在售,28000,3室,672.0,1881.0,10.239959789157341,7.53955882930103,6.51025834052315,1,0,0,1,0,0,1,0
新仕名府,顺德,伦教,在售,9500,4室,81.0,112.5,9.159047077588632,4.722953221644475,4.394449154672439,1,1,0,0,0,0,1,1
春风名苑,顺德,乐从,在售,16500,2室,94.5,162.5,9.711115659888671,5.090678001769792,4.548599834499697,1,0,0,0,1,0,1,0
中建映湖万黛,顺德,乐从,在售,13000,3室,106.5,142.0,9.472704636443673,4.955827057601261,4.66814498514948,1,0,0,0,1,0,1,0
新仕名府,顺德,伦教,在售,12500,4室,124.0,152.0,9.433483923290392,5.0238805208462765,4.820281565605037,0,1,0,1,0,0,1,1
金融街金悦郡,三水,云东海街道,在售,9300,3室,107.0,105.5,9.137769679141348,4.658710952916121,4.672828834461906,1,0,0,0,1,0,1,0
欣雅苑,高明,荷城,在售,6300,4室,103.0,71.0,8.748304912379623,4.2626798770413155,4.634728988229636,1,0,1,0,0,0,1,0
鸿升春风里,鹤山市,鹤山市,在售,5500,2室,80.0,52.1,8.612503371220562,3.9531649487593215,4.382026634673881,0,0,0,1,1,0,0,1
天樾水岸,禅城,澜石,在售,20000,3室,138.0,250.0,9.903487552536127,5.521460917862246,4.927253685157205,1,0,0,1,0,0,1,0
润立丽苑,南海,西樵,在售,7000,2室,91.5,76.5,8.85366542803745,4.33729074083249,4.516338972281476,1,0,0,0,1,0,1,1
颐安·雍悦华府,三水,北江新区,在售,8800,3室,118.0,162.0,9.082507000466299,5.087596335232384,4.770684624465665,1,0,1,0,0,0,1,0
中建壹品·湖北文旅·东湖学府,顺德,容桂,在售,12000,3室,116.0,162.0,9.392661928770137,5.087596335232384,4.7535901911063645,0,1,0,0,1,0,1,1
美的·金地·新明珠·凤翔湾壹号,禅城,南庄,在售,14500,4室,112.5,179.0,9.581903928408666,5.187385805840755,4.722953221644475,1,0,0,0,1,0,1,0
圣淘湾·美丽院子,顺德,龙江,在售,8100,3室,166.0,191.5,8.99961934066053,5.2548878086207,5.111987788356544,0,0,0,1,1,0,1,1
广域西江华府,三水,白坭,在售,7000,3室,87.5,60.0,8.85366542803745,4.0943445622221,4.471638793363569,1,0,0,0,1,0,1,1
樵顺高建广场,高明,荷城,在售,5300,2室,111.5,61.5,8.575462099540212,4.119037174812473,4.7140245909001735,1,0,0,0,1,0,1,1
保利阅江台江缦,顺德,陈村,在售,20000,4室,183.5,580.0,9.903487552536127,6.363028103540465,5.212214667494625,0,1,0,1,0,1,1,0
龙湖江与城,顺德,伦教,在售,12000,2室,103.5,108.0,9.392661928770137,4.68213122712422,4.639571612705423,1,0,0,0,1,0,1,1
美的世茂滨江壹号,顺德,大良新区,在售,15000,4室,119.5,200.0,9.615805480084347,5.298317366548036,4.783316371371566,1,1,0,0,1,0,1,0
凯蓝滨江名门花园,顺德,容桂,在售,12000,4室,90.5,130.0,9.392661928770137,4.867534450455582,4.505349850705881,1,0,0,0,1,0,1,1
华侨城·纯水岸,鹤山市,鹤山市,在售,4688,3室,82.5,44.0,8.452761331256848,3.784189633918261,4.412798293340635,0,0,0,0,1,0,0,1
保利清能和府,三水,云东海街道,在售,8900,3室,97.0,87.5,9.093806555720231,4.471638793363569,4.574710978503383,1,0,0,1,1,0,1,0
鸿升·江门玉兰花园,鹤山市,鹤山市,在售,5500,3室,93.0,55.0,8.612503371220562,4.007333185232471,4.532599493153256,1,0,0,0,0,0,0,1
香缤天玺名苑,高明,荷城,在售,6000,2室,104.0,69.0,8.699514748210191,4.23410650459726,4.6443908991413725,1,1,1,0,0,0,1,0
中梁壹号院,端州区,北岭,在售,7500,4室,138.0,145.0,8.922658299524402,4.976733742420574,4.927253685157205,1,0,1,1,0,0,0,0
金融街·顺德金悦府,顺德,陈村,在售,13000,4室,113.0,185.0,9.472704636443673,5.220355825078324,4.727387818712341,0,1,0,1,1,0,1,0
广域西江华府,三水,白坭,在售,5500,1室,29.5,15.3,8.612503371220562,2.72785282839839,3.3843902633457743,1,0,0,0,1,0,1,1
中梁星图,南海,西樵,在售,8500,4室,108.5,85.5,9.047821442478408,4.448516375942715,4.686750172980514,1,0,0,0,1,0,1,1
勤天熹园,高明,荷城,在售,8300,2室,92.0,77.5,9.02401079378469,4.350277936359301,4.5217885770490405,1,0,1,0,0,0,1,0
黎明嘉园,禅城,澜石,在售,17500,3室,102.5,173.5,9.769956159911606,5.156177599386914,4.629862798578463,1,0,0,0,0,0,1,0
怡翠晋盛,顺德,乐从,在售,20000,4室,232.5,417.5,9.903487552536127,6.0342845442909105,5.448890225027411,1,0,1,1,0,0,1,0
鸿升·春江明月（春江明月花园）,鹤山市,鹤山市,在售,7500,4室,136.0,129.0,8.922658299524402,4.859812404361672,4.912654885736052,1,0,0,0,0,0,0,0
时代全球创客小镇,南海,大沥,在售,26000,4室,167.5,515.0,10.165851817003619,6.244166900663736,5.120983351265121,1,0,1,0,0,0,1,0
新城盛悦之光,顺德,陈村,在售,19000,4室,100.0,190.0,9.852194258148577,5.247024072160486,4.605170185988092,1,0,1,1,0,0,1,0
中交滨湖雅郡,四会,大旺,在售,6600,4室,126.5,105.0,8.794824928014517,4.653960350157523,4.840242308167575,1,0,0,1,0,1,0,0
方直星耀国际,顺德,容桂,在售,9800,3室,108.0,115.0,9.190137664658664,4.74493212836325,4.68213122712422,1,0,0,0,1,0,1,1
美的卓越好时光,顺德,北滘,在售,13300,3室,103.0,172.5,9.495519314209846,5.150397236471415,4.634728988229636,1,0,0,0,1,0,1,0
新希望悦珑湾,顺德,陈村,在售,17500,2室,75.0,192.5,9.769956159911606,5.260096153727839,4.31748811353631,1,0,1,1,0,0,1,0
美的·东樾湾,南海,黄岐,在售,19500,4室,115.0,350.0,9.878169744551839,5.857933154483459,4.74493212836325,1,1,1,0,0,0,1,0
泰丰千玺湾,禅城,湖景,在售,24000,4室,138.0,345.0,10.085809109330082,5.84354441703136,4.927253685157205,1,0,1,0,0,0,1,0
海伦堡·汇银·玖悦澜湾,禅城,南庄,在售,11500,2室,112.5,141.0,9.350102314351341,4.948759890378168,4.722953221644475,0,0,0,1,1,0,1,1
中南云锦,三水,乐平,在售,9300,2室,94.5,80.5,9.137769679141348,4.388257184424518,4.548599834499697,1,0,0,1,1,0,1,0
黎明嘉园,禅城,澜石,在售,8300,2室,124.5,137.0,9.02401079378469,4.919980925828125,4.824305715904762,0,0,0,0,1,0,1,1
明智雅苑,三水,云东海街道,在售,16500,5室,399.0,586.0,9.711115659888671,6.373319789577012,5.988961416889864,0,1,0,1,0,0,1,0
正荣力高·观山府,南海,西樵,在售,11000,2室,104.5,120.0,9.305650551780507,4.787491742782046,4.6491870714048655,1,0,0,0,1,0,1,1
金地熙悦,顺德,北滘,在售,12500,2室,91.5,92.5,9.433483923290392,4.52720864451838,4.516338972281476,0,0,0,1,1,0,1,1
建发德信三堂院,南海,大沥,在售,17000,3室,115.0,210.0,9.740968623038354,5.3471075307174685,4.74493212836325,1,0,0,0,0,1,1,0
信业汇景台,顺德,龙江,在售,10000,3室,104.0,128.0,9.210340371976184,4.852030263919617,4.6443908991413725,1,0,0,0,1,0,1,1
爱情·印玥万璟府,顺德,容桂,在售,9500,2室,86.0,77.0,9.159047077588632,4.343805421853684,4.454347296253507,1,0,0,0,1,0,1,1
建发融创和玺,三水,云东海街道,在售,15000,4室,121.0,250.0,9.615805480084347,5.521460917862246,4.795790545596741,1,0,1,0,0,1,1,0
明日阳光,顺德,大良南区,在售,8000,4室,98.5,86.5,8.987196820661973,4.460144413937834,4.590056548178043,1,0,0,0,1,0,1,1
嘉濠雅苑,顺德,北滘,在售,8500,1室,40.0,34.75,9.047821442478408,3.548179572010801,3.6888794541139363,1,0,0,0,0,0,1,1
粤海拾桂府,禅城,东平,在售,24000,4室,147.5,305.0,10.085809109330082,5.720311776607412,4.993828175779875,1,0,0,0,0,1,1,0
远洋北控天成,南海,里水,在售,14800,4室,106.5,180.0,9.602382459752207,5.19295685089021,4.66814498514948,1,0,0,0,1,0,1,0
博源尚云府,三水,西南街道,在售,11000,4室,172.5,225.0,9.305650551780507,5.41610040220442,5.150397236471415,1,0,1,0,0,0,1,0
观景华府,三水,云东海街道,在售,8500,3室,121.5,105.5,9.047821442478408,4.658710952916121,4.799914262780603,1,0,0,1,1,0,1,0
万科璞悦山,南海,三山,在售,18500,4室,161.0,618.0,9.825526011066415,6.42648845745769,5.081404364984463,1,0,0,0,0,1,1,0
旭辉恒基铂仕湾,禅城,张槎,在售,15000,4室,113.0,167.0,9.615805480084347,5.117993812416755,4.727387818712341,1,0,1,0,0,0,1,0
金地招商臻玥府,顺德,容桂,在售,10300,2室,97.0,117.5,9.239899174217728,4.7664383335842135,4.574710978503383,1,0,0,0,1,0,1,1
美的滨湖学府,南海,里水,在售,17000,4室,194.0,260.0,9.740968623038354,5.560681631015528,5.267858159063328,1,0,1,0,0,0,1,0
大华紫樾府,禅城,张槎,在售,17500,3室,128.0,415.0,9.769956159911606,6.028278520230698,4.852030263919617,1,0,1,0,0,0,1,0
保利智慧云城,顺德,杏坛,在售,9800,4室,98.5,100.0,9.190137664658664,4.605170185988092,4.590056548178043,1,0,0,0,1,0,1,1
岭南澳苑,三水,乐平,在售,6500,3室,89.0,62.0,8.779557455883728,4.127134385045092,4.48863636973214,0,0,0,1,1,0,1,1
信业·珀丽湾,高要区,高要,在售,4000,4室,113.0,58.5,8.294049640102028,4.069026754237811,4.727387818712341,0,0,0,1,1,0,0,1
港龙滨江公园,顺德,伦教,在售,13500,4室,109.5,163.0,9.51044496442652,5.093750200806762,4.695924549256556,1,0,0,0,1,0,1,0
金地中南新城大境,顺德,乐从,在售,12000,2室,91.5,111.5,9.392661928770137,4.7140245909001735,4.516338972281476,1,0,0,0,1,0,1,1
华发滨江府,顺德,乐从,在售,17500,3室,114.5,227.5,9.769956159911606,5.427150238391005,4.740574822994295,1,0,0,0,0,1,1,0
保利铂悦府,顺德,容桂,在售,10500,4室,117.0,130.5,9.259130536145614,4.871373226762748,4.762173934797756,1,0,0,0,1,0,1,1
安联尚璟府,高明,荷城,在售,10000,2室,107.0,120.0,9.210340371976184,4.787491742782046,4.672828834461906,1,0,0,0,0,1,1,0
恩歌源·享城,鼎湖区,鼎湖,在售,4800,4室,118.5,63.0,8.476371196895983,4.143134726391533,4.774912960575186,1,0,0,0,1,0,0,1
义兴壹品,四会,大旺,在售,5500,3室,107.0,58.0,8.612503371220562,4.060443010546419,4.672828834461906,0,0,0,1,1,0,0,1
凯蓝江畔名轩,顺德,容桂,在售,10000,2室,69.5,81.0,9.210340371976184,4.394449154672439,4.241326752570746,0,0,0,1,1,0,1,1
建投恒福壹号,禅城,湖景,在售,33000,4室,206.5,735.0,10.404262840448617,6.5998704992128365,5.330300412401088,1,1,0,0,0,0,1,0
灯湖首府,禅城,祖庙,在售,15000,2室,88.5,135.0,9.615805480084347,4.90527477843843,4.483002552013883,1,0,0,0,1,0,1,0
鹤山·中汇名庭,鹤山市,鹤山市,在售,7800,4室,110.0,97.5,8.961879012677683,4.579852378003801,4.700480365792417,1,1,0,0,0,0,0,0
新华城,鹤山市,鹤山市,在售,7500,3室,145.5,115.5,8.922658299524402,4.749270529961848,4.980176086611547,1,0,0,1,0,0,0,0
远大建管帝景湾,顺德,伦教,在售,13000,3室,112.5,128.0,9.472704636443673,4.852030263919617,4.722953221644475,1,0,0,0,1,0,1,0
越秀·御湖台,南海,狮山,在售,16000,4室,167.5,311.5,9.680344001221918,5.741399338227508,5.120983351265121,1,1,0,0,0,1,1,0
汇源新都,鹤山市,鹤山市,在售,5700,3室,94.0,54.0,8.648221453822641,3.9889840465642745,4.543294782270004,1,0,0,1,0,0,0,0
泰丰千语庭,禅城,澜石,在售,17500,4室,95.5,175.0,9.769956159911606,5.1647859739235145,4.5591262474866845,1,0,1,1,0,0,1,0
明智雅苑,三水,云东海街道,在售,13000,1室,89.0,80.0,9.472704636443673,4.382026634673881,4.48863636973214,1,0,0,0,0,0,1,1
保利灯湖天珺,南海,盐步,在售,30000,4室,169.0,640.0,10.308952660644293,6.461468176353717,5.1298987149230735,0,1,0,1,0,1,1,0
信业汇景台,顺德,龙江,在售,18000,4室,108.0,56.0,9.798127036878302,4.02535169073515,4.68213122712422,1,0,0,0,1,0,1,0
侨银控股银湖湾畔,三水,乐平,在售,13000,4室,134.5,160.5,9.472704636443673,5.07829394257007,4.901564199041894,1,0,1,0,0,0,1,0
三龙湾保利和颂,禅城,湖景,在售,22000,3室,114.5,325.0,9.998797732340453,5.783825182329737,4.740574822994295,1,0,0,0,0,1,1,0
融佳臻园,三水,西南街道,在售,9800,4室,134.5,158.5,9.190137664658664,5.065754593317335,4.901564199041894,1,0,0,0,1,0,1,0
锦绣半岛,南海,狮山,在售,12000,4室,152.5,293.0,9.392661928770137,5.680172609017068,5.0271645960474665,0,1,0,0,1,0,1,1
保利珺悦府,顺德,北滘,在售,19500,4室,179.5,480.0,9.878169744551839,6.173786103901937,5.190175207928333,1,1,0,0,0,1,1,0
鸿升·春江明月（春江明月花园）,鹤山市,鹤山市,在售,15000,6室,211.5,326.0,9.615805480084347,5.786897381366708,5.354224998486333,1,0,1,0,0,0,0,0
保利珺悦府,顺德,北滘,在售,26000,4室,196.0,550.0,10.165851817003619,6.309918278226516,5.278114659230517,1,1,0,0,0,1,1,0
城发·悦城峯境,禅城,张槎,在售,22000,4室,261.5,615.0,9.998797732340453,6.421622267806518,5.566434283504978,1,1,0,0,0,1,1,0
樵顺花苑,高明,荷城,在售,7500,4室,105.5,82.0,8.922658299524402,4.406719247264253,4.658710952916121,1,0,0,0,0,0,1,0
顺控金地熙悦湾,顺德,勒流,在售,8500,3室,108.0,95.0,9.047821442478408,4.553876891600541,4.68213122712422,1,0,0,0,1,0,1,1
华福·金湾水岸,顺德,伦教,在售,13000,3室,134.5,192.5,9.472704636443673,5.260096153727839,4.901564199041894,1,0,0,0,1,0,1,0
保利天悦,南海,千灯湖,在售,18000,2室,125.5,315.0,9.798127036878302,5.752572638825633,4.832305758571839,1,1,0,0,0,1,1,0
锦绣春江花园,鼎湖区,鼎湖,在售,6000,3室,98.5,63.5,8.699514748210191,4.151039905898646,4.590056548178043,1,0,0,0,0,0,0,0
保利天汇,南海,平洲,在售,35000,4室,213.5,915.0,10.46310334047155,6.818924065275521,5.363636832668679,1,1,0,0,0,1,1,0
凯景半岛,高明,荷城,在售,8000,4室,101.0,78.0,8.987196820661973,4.356708826689592,4.61512051684126,1,0,0,0,0,0,1,0
啟骏琅逸轩,南海,黄岐,在售,22000,3室,105.0,220.0,9.998797732340453,5.393627546352362,4.653960350157523,1,0,0,0,0,0,1,0
保利三龙湾天珺,禅城,湖景,在售,40000,4室,273.0,1285.0,10.596634733096073,7.158513997329321,5.60947179518496,1,1,0,0,0,1,1,0
越秀星汇文瀚,南海,平洲,在售,23000,4室,100.0,225.0,10.043249494911286,5.41610040220442,4.605170185988092,1,0,0,0,0,1,1,0
融基齐家湖壹号,三水,乐平,在售,9500,4室,138.0,132.5,9.159047077588632,4.886582645426277,4.927253685157205,0,1,0,1,0,0,1,0
天樾华园,禅城,澜石,在售,15500,4室,116.0,189.0,9.648595302907339,5.241747015059643,4.7535901911063645,0,1,0,1,1,0,1,0
城发灯湖悦园,禅城,祖庙,在售,16000,3室,100.5,167.5,9.680344001221918,5.120983351265121,4.61015772749913,1,0,0,0,0,1,1,0
保利新汇城,禅城,祖庙,在售,25000,4室,108.0,170.0,10.126631103850338,5.135798437050262,4.68213122712422,1,0,0,0,0,1,1,0
捷和广场三期水溋坊,三水,云东海街道,在售,8600,3室,99.5,93.0,9.0595174822416,4.532599493153256,4.600157644164547,1,0,0,1,1,0,1,0
东建映月湖壹号,南海,平洲,在售,35000,4室,240.0,900.0,10.46310334047155,6.802394763324311,5.480638923341991,1,1,1,0,0,0,1,0
华侨城天鹅堡二期,顺德,大良东区,在售,22000,4室,212.0,530.0,9.998797732340453,6.272877006546167,5.356586274672012,1,1,0,0,0,1,1,0
建发融创和玺,三水,云东海街道,在售,25000,1室,48.5,110.0,10.126631103850338,4.700480365792417,3.8815637979434374,1,0,0,0,0,1,1,0
顺控•桂樾台,顺德,容桂,在售,9500,2室,107.0,105.0,9.159047077588632,4.653960350157523,4.672828834461906,0,0,0,0,0,0,1,1
九峯台,高明,荷城,在售,9500,4室,182.5,173.0,9.159047077588632,5.153291594497779,5.206750173022546,1,1,0,0,0,0,1,0
北岸美庐,顺德,乐从,在售,10000,4室,228.5,264.0,9.210340371976184,5.575949103146316,5.43153621033426,1,0,0,0,0,0,1,1
顺伦海心明月,顺德,伦教,在售,11000,2室,97.5,107.5,9.305650551780507,4.677490847567717,4.579852378003801,1,0,0,0,1,0,1,1
保利琅悦,南海,桂城,在售,25000,4室,131.0,365.0,10.126631103850338,5.8998973535824915,4.875197323201151,1,0,0,0,0,1,1,0
建发灯湖天峯,南海,大沥,在售,32000,4室,141.0,450.0,10.373491181781864,6.1092475827643655,4.948759890378168,1,0,0,1,0,1,1,0
建发灯湖缦云,南海,盐步,在售,45000,4室,256.5,1350.0,10.714417768752456,7.2078598714324755,5.547128664610824,1,1,0,0,0,1,1,0
华侨城半月岛纯水岸,禅城,湖景,在售,31000,4室,183.5,611.5,10.341742483467284,6.415914955127227,5.212214667494625,1,0,0,0,0,1,1,0
万科世纪灯湖·瑧府,南海,千灯湖,在售,50000,4室,190.0,850.0,10.819778284410283,6.745236349484363,5.247024072160486,0,1,0,1,0,1,1,0
保利和著,南海,平洲,在售,24000,4室,141.0,380.0,10.085809109330082,5.940171252720432,4.948759890378168,1,1,0,0,0,1,1,0
裕桂楼,南海,桂城,在售,20000,2室,102.5,200.0,9.903487552536127,5.298317366548036,4.629862798578463,1,0,0,0,0,0,1,0
汇景园,鼎湖区,鼎湖,在售,5200,4室,102.0,55.5,8.556413904569519,4.0163830207523885,4.624972813284271,0,0,0,1,1,0,0,1
怡亚通珑樾,禅城,岭南大道,在售,22000,3室,132.5,295.0,9.998797732340453,5.68697535633982,4.886582645426277,0,1,0,0,0,1,1,0
新希望悦珑湾,顺德,陈村,在售,25000,4室,108.0,139.0,10.126631103850338,4.9344739331306915,4.68213122712422,1,0,1,0,0,0,1,0
颐安·雍悦华府,三水,北江新区,在售,20000,1室,60.0,105.0,9.903487552536127,4.653960350157523,4.0943445622221,1,0,1,0,0,0,1,0
顺控博悦湾新翼,顺德,顺德碧桂园,在售,11000,4室,130.5,176.0,9.305650551780507,5.170483995038151,4.871373226762748,1,0,0,0,1,0,1,1
中盛龙骧水岸,南海,大沥,在售,15500,2室,103.0,176.5,9.648595302907339,5.173320876373351,4.634728988229636,1,0,1,0,0,0,1,0
致美家园,南海,狮山,在售,16000,4室,263.0,610.0,9.680344001221918,6.413458957167357,5.572154032177765,1,1,1,0,0,0,1,0
岭南华曦府,顺德,大良东区,在售,17000,4室,116.5,204.5,9.740968623038354,5.320567975482857,4.757891273005756,1,0,0,0,0,1,1,0
江鹤1号,鹤山市,鹤山市,在售,7000,4室,116.0,67.5,8.85366542803745,4.212127597878484,4.7535901911063645,1,1,0,0,0,0,0,0
春风潮鸣花园,鹤山市,鹤山市,在售,7750,4室,93.0,62.5,8.955448122347393,4.135166556742356,4.532599493153256,1,0,1,0,0,0,0,0
春风潮鸣花园,鹤山市,鹤山市,在售,10000,4室,222.5,227.5,9.210340371976184,5.427150238391005,5.404927101606295,1,0,1,0,0,0,0,0
顺峰府,顺德,大良东区,在售,17000,3室,195.0,374.0,9.740968623038354,5.924255797414532,5.272999558563747,0,1,0,1,0,0,1,0
