标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,是否是人车分流,是否是品牌房企,是否是车位充足,是否是国央企,是否是绿化率高,是否是低总价,是否是佛山楼盘,是否是低单价,是否是小型社区,是否是近地铁,是否是大型社区,是否是地铁沿线
广域西江华府,三水,白坭,在售,7000,3室,87.5,60.0,1,0,0,0,0,1,1,1,0,0,0,0
樵顺高建广场,高明,荷城,在售,5300,"2室, 3室",111.5,61.5,1,0,0,0,0,1,1,1,0,0,0,0
保利阅江台江缦,顺德,陈村,在售,20000,4室,183.5,580.0,0,0,1,1,1,0,1,0,0,0,0,0
龙湖江与城,顺德,伦教,在售,12000,2室,103.5,108.0,1,0,0,0,0,1,1,1,0,0,0,0
美的世茂滨江壹号,顺德,大良新区,在售,15000,"3室, 4室",119.5,200.0,1,0,1,0,0,1,1,0,0,0,0,0
凯蓝滨江名门花园,顺德,容桂,在售,12000,"3室, 4室",90.5,130.0,1,0,0,0,0,1,1,1,0,0,0,0
华侨城·纯水岸,鹤山市,鹤山市,在售,4688,"1室, 3室, 4室",82.5,44.0,0,0,0,0,0,1,0,1,0,0,0,0
保利清能和府,三水,云东海街道,在售,8900,"2室, 3室, 4室",97.0,87.5,1,0,0,0,1,1,1,0,0,0,0,0
鸿升·江门玉兰花园,鹤山市,鹤山市,在售,5500,"2室, 3室, 4室",93.0,55.0,1,0,0,0,0,0,0,1,0,0,1,0
香缤天玺名苑,高明,荷城,在售,6000,"2室, 3室",104.0,69.0,1,1,1,0,0,0,1,0,0,0,0,0
中梁壹号院,端州区,北岭,在售,7500,"4室, 5室",138.0,145.0,1,1,0,0,1,0,0,0,0,0,0,0
金融街·顺德金悦府,顺德,陈村,在售,13000,"3室, 4室",113.0,185.0,0,0,1,0,1,1,1,0,0,0,0,0
广域西江华府,三水,白坭,在售,5500,1室,29.5,15.3,1,0,0,0,0,1,1,1,0,0,0,0
中梁星图,南海,西樵,在售,8500,"3室, 4室",108.5,85.5,1,0,0,0,0,1,1,1,0,0,0,0
勤天熹园,高明,荷城,在售,8300,"2室, 3室",92.0,77.5,1,1,0,0,0,0,1,0,1,0,0,0
黎明嘉园,禅城,澜石,在售,17500,3室,102.5,173.5,1,0,0,0,0,0,1,0,0,1,0,0
怡翠晋盛,顺德,乐从,在售,20000,4室,232.5,417.5,1,1,0,0,1,0,1,0,0,0,0,0
鸿升·春江明月（春江明月花园）,鹤山市,鹤山市,在售,7500,"3室, 4室, 5室",136.0,129.0,1,0,0,0,0,0,0,0,0,0,1,0
时代全球创客小镇,南海,大沥,在售,26000,"3室, 4室",167.5,515.0,1,1,0,0,0,0,1,0,0,0,1,0
新城盛悦之光,顺德,陈村,在售,19000,"3室, 4室",100.0,190.0,1,1,0,0,1,0,1,0,0,0,0,0
中交滨湖雅郡,四会,大旺,在售,6600,"3室, 4室",126.5,105.0,1,0,0,1,1,0,0,0,0,0,0,0
方直星耀国际,顺德,容桂,在售,9800,"2室, 3室, 4室",108.0,115.0,1,0,0,0,0,1,1,1,0,0,0,0
美的卓越好时光,顺德,北滘,在售,13300,"2室, 4室",103.0,172.5,1,0,0,0,0,1,1,0,0,0,0,0
新希望悦珑湾,顺德,陈村,在售,17500,"1室, 2室, 3室",75.0,192.5,1,1,0,0,1,0,1,0,0,0,0,0
美的·东樾湾,南海,黄岐,在售,19500,4室,115.0,350.0,1,1,1,0,0,0,1,0,0,0,0,0
泰丰千玺湾,禅城,湖景,在售,24000,"3室, 4室",138.0,345.0,1,1,0,0,0,0,1,0,0,0,0,0
海伦堡·汇银·玖悦澜湾,禅城,南庄,在售,11500,"2室, 3室",112.5,141.0,0,0,0,0,1,1,1,1,0,0,0,0
中南云锦,三水,乐平,在售,9300,"2室, 3室",94.5,80.5,1,0,0,0,1,1,1,0,0,0,0,0
黎明嘉园,禅城,澜石,在售,8300,"2室, 3室",124.5,137.0,0,0,0,0,0,1,1,1,0,1,0,0
明智雅苑,三水,云东海街道,在售,16500,"4室, 6室",399.0,586.0,0,0,1,0,1,0,1,0,0,0,0,0
正荣力高·观山府,南海,西樵,在售,11000,"2室, 3室",104.5,120.0,1,0,0,0,0,1,1,1,0,0,0,0
金地熙悦,顺德,北滘,在售,12500,2室,91.5,92.5,0,0,0,0,1,1,1,1,0,0,0,0
建发德信三堂院,南海,大沥,在售,17000,"2室, 3室, 4室",115.0,210.0,1,0,0,1,0,0,1,0,0,0,1,0
信业汇景台,顺德,龙江,在售,10000,"2室, 3室, 5室",104.0,128.0,1,0,0,0,0,1,1,1,0,0,0,0
爱情·印玥万璟府,顺德,容桂,在售,9500,2室,86.0,77.0,1,0,0,0,0,1,1,1,0,0,0,0
建发融创和玺,三水,云东海街道,在售,15000,4室,121.0,250.0,1,1,0,1,0,0,1,0,0,0,0,0
明日阳光,顺德,大良南区,在售,8000,"3室, 4室",98.5,86.5,1,0,0,0,0,1,1,1,0,0,0,0
嘉濠雅苑,顺德,北滘,在售,8500,1室,40.0,34.75,1,0,0,0,0,0,1,1,1,0,0,0
粤海拾桂府,禅城,东平,在售,24000,"3室, 4室, 5室",147.5,305.0,1,0,0,1,0,0,1,0,0,0,1,0
远洋北控天成,南海,里水,在售,14800,"3室, 4室",106.5,180.0,1,0,0,0,0,1,1,0,0,0,0,0
博源尚云府,三水,西南街道,在售,11000,"3室, 4室",172.5,225.0,1,1,0,0,0,0,1,0,0,0,0,0
观景华府,三水,云东海街道,在售,8500,"2室, 3室, 4室",121.5,105.5,1,0,0,0,1,1,1,0,0,0,0,0
万科璞悦山,南海,三山,在售,18500,"3室, 4室",161.0,618.0,1,0,0,1,0,0,1,0,0,0,1,0
旭辉恒基铂仕湾,禅城,张槎,在售,15000,"3室, 4室",113.0,167.0,1,1,0,0,0,0,1,0,0,0,0,0
金地招商臻玥府,顺德,容桂,在售,10300,"2室, 3室",97.0,117.5,1,0,0,0,0,1,1,1,0,0,0,0
美的滨湖学府,南海,里水,在售,17000,"3室, 4室",194.0,260.0,1,1,0,0,0,0,1,0,1,0,0,0
大华紫樾府,禅城,张槎,在售,17500,"2室, 3室, 4室",128.0,415.0,1,1,0,0,0,0,1,0,0,0,1,0
保利智慧云城,顺德,杏坛,在售,9800,"3室, 4室",98.5,100.0,1,0,0,0,0,1,1,1,0,0,0,0
岭南澳苑,三水,乐平,在售,6500,3室,89.0,62.0,0,0,0,0,1,1,1,1,0,0,0,0
信业·珀丽湾,高要区,高要,在售,4000,"3室, 4室",113.0,58.5,0,0,0,0,1,1,0,1,0,0,0,0
港龙滨江公园,顺德,伦教,在售,13500,"3室, 4室, 5室",109.5,163.0,1,0,0,0,0,1,1,0,0,0,0,0
金地中南新城大境,顺德,乐从,在售,12000,"2室, 3室",91.5,111.5,1,0,0,0,0,1,1,1,0,0,0,0
华发滨江府,顺德,乐从,在售,17500,"2室, 4室",114.5,227.5,1,0,0,1,0,0,1,0,0,0,0,0
保利铂悦府,顺德,容桂,在售,10500,"3室, 4室",117.0,130.5,1,0,0,0,0,1,1,1,0,0,0,0
安联尚璟府,高明,荷城,在售,10000,"2室, 3室",107.0,120.0,1,0,0,1,0,0,1,0,0,0,0,0
恩歌源·享城,鼎湖区,鼎湖,在售,4800,"3室, 4室, 5室",118.5,63.0,1,0,0,0,0,1,0,1,0,0,0,0
义兴壹品,四会,大旺,在售,5500,3室,107.0,58.0,0,0,0,0,1,1,0,1,0,0,0,0
凯蓝江畔名轩,顺德,容桂,在售,10000,2室,69.5,81.0,0,0,0,0,1,1,1,1,0,0,0,0
建投恒福壹号,禅城,湖景,在售,33000,4室,206.5,735.0,1,0,1,0,0,0,1,0,0,1,0,0
灯湖首府,禅城,祖庙,在售,15000,"2室, 3室",88.5,135.0,1,0,0,0,0,1,1,0,1,0,0,0
鹤山·中汇名庭,鹤山市,鹤山市,在售,7800,"3室, 4室, 5室",110.0,97.5,1,0,1,0,0,0,0,0,0,0,0,0
新华城,鹤山市,鹤山市,在售,7500,"2室, 3室, 4室",145.5,115.5,1,0,0,0,1,0,0,0,0,0,0,0
远大建管帝景湾,顺德,伦教,在售,13000,"2室, 3室, 4室",112.5,128.0,1,0,0,0,0,1,1,0,0,0,1,0
越秀·御湖台,南海,狮山,在售,16000,"3室, 4室",167.5,311.5,1,0,1,1,0,0,1,0,0,0,0,0
汇源新都,鹤山市,鹤山市,在售,5700,3室,94.0,54.0,1,0,0,0,1,0,0,0,0,0,0,0
泰丰千语庭,禅城,澜石,在售,17500,"3室, 4室",95.5,175.0,1,1,0,0,1,0,1,0,0,0,0,0
明智雅苑,三水,云东海街道,在售,13000,1室,89.0,80.0,1,0,0,0,0,0,1,1,0,0,0,0
保利灯湖天珺,南海,盐步,在售,30000,"3室, 4室, 5室",169.0,640.0,0,0,1,1,1,0,1,0,0,0,0,0
信业汇景台,顺德,龙江,在售,18000,"3室, 4室",108.0,56.0,1,0,0,0,0,1,1,0,0,0,0,0
侨银控股银湖湾畔,三水,乐平,在售,13000,"3室, 4室, 5室",134.5,160.5,1,1,0,0,0,0,1,0,0,0,0,0
三龙湾保利和颂,禅城,湖景,在售,22000,3室,114.5,325.0,1,0,0,1,0,0,1,0,0,0,1,0
融佳臻园,三水,西南街道,在售,9800,"3室, 4室",134.5,158.5,1,0,0,0,0,1,1,0,1,0,0,0
锦绣半岛,南海,狮山,在售,12000,"3室, 4室",152.5,293.0,0,0,1,0,0,1,1,1,0,0,0,0
保利珺悦府,顺德,北滘,在售,19500,4室,179.5,480.0,1,0,1,1,0,0,1,0,0,0,0,0
鸿升·春江明月（春江明月花园）,鹤山市,鹤山市,在售,15000,6室,211.5,326.0,1,1,0,0,0,0,0,0,0,0,1,0
保利珺悦府,顺德,北滘,在售,26000,4室,196.0,550.0,1,0,1,1,0,0,1,0,0,0,0,0
城发·悦城峯境,禅城,张槎,在售,22000,"3室, 4室",261.5,615.0,1,0,1,1,0,0,1,0,0,0,0,0
樵顺花苑,高明,荷城,在售,7500,"3室, 4室",105.5,82.0,1,0,0,0,0,0,1,0,1,0,0,0
顺控金地熙悦湾,顺德,勒流,在售,8500,"2室, 3室, 4室",108.0,95.0,1,0,0,0,0,1,1,1,0,0,0,0
华福·金湾水岸,顺德,伦教,在售,13000,"2室, 4室",134.5,192.5,1,0,0,0,0,1,1,0,0,0,0,0
保利天悦,南海,千灯湖,在售,18000,"1室, 2室, 3室",125.5,315.0,1,0,1,1,0,0,1,0,0,0,0,0
锦绣春江花园,鼎湖区,鼎湖,在售,6000,"2室, 3室, 4室",98.5,63.5,1,0,0,0,0,0,0,0,0,0,0,0
保利天汇,南海,平洲,在售,35000,"4室, 5室",213.5,915.0,1,0,1,1,0,0,1,0,0,0,0,0
凯景半岛,高明,荷城,在售,8000,"3室, 4室",101.0,78.0,1,0,0,0,0,0,1,0,1,0,0,0
啟骏琅逸轩,南海,黄岐,在售,22000,3室,105.0,220.0,1,0,0,0,0,0,1,0,0,0,0,0
保利三龙湾天珺,禅城,湖景,在售,40000,"4室, 5室",273.0,1285.0,1,0,1,1,0,0,1,0,0,0,0,0
越秀星汇文瀚,南海,平洲,在售,23000,"3室, 4室",100.0,225.0,1,0,0,1,0,0,1,0,1,0,0,0
融基齐家湖壹号,三水,乐平,在售,9500,"3室, 4室",138.0,132.5,0,0,1,0,1,0,1,0,0,0,0,0
天樾华园,禅城,澜石,在售,15500,"3室, 4室",116.0,189.0,0,0,1,0,1,1,1,0,0,0,0,0
城发灯湖悦园,禅城,祖庙,在售,16000,"2室, 3室, 4室",100.5,167.5,1,0,0,1,0,0,1,0,0,0,1,0
保利新汇城,禅城,祖庙,在售,25000,"3室, 4室",108.0,170.0,1,0,0,1,0,0,1,0,0,0,1,0
捷和广场三期水溋坊,三水,云东海街道,在售,8600,"2室, 3室, 4室",99.5,93.0,1,0,0,0,1,1,1,0,0,0,0,0
东建映月湖壹号,南海,平洲,在售,35000,"4室, 5室",240.0,900.0,1,1,1,0,0,0,1,0,0,0,0,0
华侨城天鹅堡二期,顺德,大良东区,在售,22000,"3室, 4室, 5室",212.0,530.0,1,0,1,1,0,0,1,0,0,0,0,0
建发融创和玺,三水,云东海街道,在售,25000,1室,48.5,110.0,1,0,0,1,0,0,1,0,0,0,0,0
顺控•桂樾台,顺德,容桂,在售,9500,"2室, 3室",107.0,105.0,0,0,0,0,0,0,1,1,0,0,0,0
九峯台,高明,荷城,在售,9500,4室,182.5,173.0,1,0,1,0,0,0,1,0,0,0,0,0
北岸美庐,顺德,乐从,在售,10000,"3室, 4室, 6室",228.5,264.0,1,0,0,0,0,0,1,1,0,0,0,0
顺伦海心明月,顺德,伦教,在售,11000,"2室, 3室",97.5,107.5,1,0,0,0,0,1,1,1,0,0,0,0
保利琅悦,南海,桂城,在售,25000,"3室, 4室",131.0,365.0,1,0,0,1,0,0,1,0,0,0,1,0
建发灯湖天峯,南海,大沥,在售,32000,4室,141.0,450.0,1,0,0,1,1,0,1,0,0,0,0,0
建发灯湖缦云,南海,盐步,在售,45000,"4室, 5室",256.5,1350.0,1,0,1,1,0,0,1,0,0,0,0,0
华侨城半月岛纯水岸,禅城,湖景,在售,31000,4室,183.5,611.5,1,0,0,1,0,0,1,0,0,0,0,0
万科世纪灯湖·瑧府,南海,千灯湖,在售,50000,"3室, 4室",190.0,850.0,0,0,1,1,1,0,1,0,0,0,0,0
保利和著,南海,平洲,在售,24000,4室,141.0,380.0,1,0,1,1,0,0,1,0,0,0,0,0
裕桂楼,南海,桂城,在售,20000,"2室, 3室",102.5,200.0,1,0,0,0,0,0,1,0,1,1,0,0
汇景园,鼎湖区,鼎湖,在售,5200,"3室, 4室",102.0,55.5,0,0,0,0,1,1,0,1,0,0,0,0
怡亚通珑樾,禅城,岭南大道,在售,22000,3室,132.5,295.0,0,0,1,1,0,0,1,0,0,0,0,0
新希望悦珑湾,顺德,陈村,在售,25000,"3室, 4室",108.0,139.0,1,1,0,0,0,0,1,0,0,0,0,0
颐安·雍悦华府,三水,北江新区,在售,20000,1室,60.0,105.0,1,1,0,0,0,0,1,0,0,0,0,0
顺控博悦湾新翼,顺德,顺德碧桂园,在售,11000,4室,130.5,176.0,1,0,0,0,0,1,1,1,0,0,0,0
中盛龙骧水岸,南海,大沥,在售,15500,"2室, 3室",103.0,176.5,1,1,0,0,0,0,1,0,1,0,0,0
致美家园,南海,狮山,在售,16000,"3室, 4室, 5室",263.0,610.0,1,1,1,0,0,0,1,0,0,0,0,0
岭南华曦府,顺德,大良东区,在售,17000,"3室, 4室",116.5,204.5,1,0,0,1,0,0,1,0,0,0,0,0
江鹤1号,鹤山市,鹤山市,在售,7000,"3室, 4室",116.0,67.5,1,0,1,0,0,0,0,0,0,0,0,0
春风潮鸣花园,鹤山市,鹤山市,在售,7750,"3室, 4室",93.0,62.5,1,1,0,0,0,0,0,0,0,0,1,0
春风潮鸣花园,鹤山市,鹤山市,在售,10000,"4室, 5室",222.5,227.5,1,1,0,0,0,0,0,0,0,0,1,0
顺峰府,顺德,大良东区,在售,17000,"2室, 3室, 4室",195.0,374.0,0,0,1,0,1,0,1,0,0,1,0,0
新怡明德世家,南海,盐步,在售,13500,"3室, 4室",115.0,160.0,1,0,0,0,0,0,1,1,1,0,0,0
东建天赋龙湾,禅城,张槎,在售,18500,"3室, 4室",142.0,276.5,1,1,0,0,1,0,1,0,0,0,0,0
智信明轩,高明,荷城,在售,6300,3室,101.5,62.5,1,0,0,0,0,0,1,0,1,0,0,0
博雅滨江,三水,西南街道,在售,20000,1室,48.0,97.0,1,1,1,0,0,0,1,0,0,0,0,0
捷和广场三期水溋坊,三水,云东海街道,在售,25000,1室,43.5,134.65,1,0,0,0,0,1,1,0,0,0,0,0
桐林天晋,南海,盐步,在售,17000,"2室, 3室",102.0,169.0,1,0,0,0,0,0,1,0,1,0,0,0
涛汇鎏金湾二期·瑞府,顺德,大良新区,在售,15000,"3室, 4室",130.0,210.0,1,0,0,0,1,0,1,0,0,0,0,0
怡亚通珑樾,禅城,岭南大道,在售,18000,"3室, 4室",108.0,1100.0,1,0,1,1,0,0,1,0,0,0,0,0
藏珑华府,顺德,陈村,在售,8800,"1室, 2室",48.5,40.0,1,0,0,0,0,0,1,1,0,0,0,0
智富新天地,顺德,杏坛,在售,7800,"3室, 4室",89.5,68.5,1,0,0,0,0,1,1,1,0,0,0,0
中兴汇富居,鹤山市,鹤山市,在售,6800,"3室, 4室, 5室",132.5,99.5,1,0,0,0,1,0,0,0,0,0,0,0
桃园高尔夫豪庭,南海,松岗,在售,20000,"6室, 7室, 8室",684.5,1390.0,1,0,0,0,0,0,1,0,1,0,0,0
万和融禧公馆,南海,千灯湖,在售,17000,"2室, 3室",96.5,177.5,0,0,0,0,0,0,1,0,1,0,0,0
大学城•禾粤,南海,狮山,在售,7500,"3室, 4室",105.5,85.0,1,0,0,0,0,1,1,1,0,0,0,0
天健汇,天河,车陂,售罄,37500,"1室, 3室",43.5,135.0,1,1,0,1,0,0,0,0,1,0,0,0
绿地云央,白云,太和,售罄,27500,"3室, 4室",118.0,275.0,1,1,1,1,0,0,0,0,0,0,0,0
智杰雅筑,从化,河滨北路,售罄,11000,"3室, 5室",166.0,140.0,1,0,0,0,1,0,0,0,0,0,0,0
南华时代城,花都,铁路西,售罄,20000,3室,114.5,220.0,1,0,0,0,0,0,0,0,0,0,1,1
中森茗苑,增城,新塘北,售罄,21000,3室,86.5,185.0,1,0,0,0,0,0,0,0,0,0,0,0
越秀星汇云城,白云,同和,售罄,53000,"2室, 3室, 4室",100.0,550.0,0,0,1,1,1,0,0,0,0,0,0,0
盈港国际,南沙,进港大道,售罄,14500,"1室, 2室, 3室",113.0,140.0,1,0,0,0,1,0,0,0,0,0,0,0
远东御江豪庭,荔湾,茶滘,售罄,40000,"0室, 2室, 3室",106.0,343.0,1,0,0,0,0,0,0,0,1,0,0,1
中海联南沙国贸中心,南沙,金洲,售罄,13000,2室,55.0,68.0,1,0,0,0,0,0,0,0,1,1,0,1
家和天曜,天河,黄村,售罄,33000,2室,47.5,135.0,1,0,0,0,1,0,0,0,0,0,0,0
大夫山尚东,番禺,市桥,售罄,24000,"2室, 3室, 4室",94.5,220.0,1,1,0,0,1,0,0,0,0,0,0,0
中鼎名汇,黄埔,黄埔区府,售罄,23500,"1室, 2室",67.5,170.0,1,0,0,0,1,0,0,0,0,0,0,0
保利罗兰国际4期,黄埔,科学城,售罄,41000,"1室, 2室, 3室",113.0,450.0,0,1,1,1,1,0,0,0,0,0,0,0
金地香山湖,增城,永宁,售罄,12000,4室,149.5,160.0,1,1,0,0,0,0,0,0,1,0,0,0
天马丽苑·悦璟湾,花都,铁路西,售罄,32000,"3室, 4室",122.0,360.0,0,0,1,0,1,0,0,0,0,0,0,0
增城一品山湖,增城,荔城增江,售罄,11000,"3室, 4室",128.0,130.0,1,1,0,1,0,0,0,0,0,0,1,0
合景誉山国际,增城,永宁,售罄,18000,"3室, 4室",108.0,90.0,1,1,1,0,0,0,0,0,0,0,0,0
华发荔湾荟,荔湾,滘口,售罄,22000,"2室, 3室",52.5,85.0,1,1,0,1,0,0,0,0,1,0,0,0
广州国际空港中心,花都,镜湖大道,售罄,12000,"1室, 2室",38.0,46.0,1,1,0,1,1,0,0,0,0,0,0,0
招商臻园,增城,新塘北,售罄,18000,"3室, 4室, 5室",119.0,230.0,1,1,1,1,0,0,0,0,0,0,0,0
越秀臻悦府,花都,镜湖大道,售罄,30000,4室,110.0,290.0,0,1,1,1,1,0,0,0,0,0,0,0
逸合中心,荔湾,鹤洞,售罄,34000,"2室, 3室",44.5,155.0,1,1,0,0,0,0,0,0,0,1,0,0
越秀国际总部广场,南沙,金洲,售罄,13500,"2室, 3室, 4室",63.5,70.0,1,1,0,1,0,0,0,0,0,0,1,0
合家和府,从化,旺城片区,售罄,12000,"2室, 3室",107.0,120.0,0,0,1,0,1,0,0,0,0,0,0,0
星河·湾区壹号,南沙,金洲,售罄,13000,"1室, 2室, 3室",56.0,80.0,1,1,0,0,0,0,0,0,0,0,0,0
祈福黄金海岸,花都,赤坭镇,售罄,7888,"2室, 3室, 4室",112.0,58.0,0,0,0,0,1,0,0,0,0,0,0,0
嘉骏幸福里,从化,旧城区,售罄,15500,3室,97.5,149.0,1,0,0,0,1,0,0,0,0,0,0,0
远洋招商保利东湾,增城,朱村,售罄,20000,"3室, 4室",103.0,188.0,1,1,1,1,0,0,0,0,0,0,0,0
合汇璟园,增城,增城碧桂园,售罄,35000,4室,228.5,800.0,1,1,1,0,0,0,0,0,0,0,0,0
珠光御景壹號,荔湾,黄沙,售罄,65000,"1室, 2室, 3室",75.0,400.0,1,0,0,0,1,0,0,0,0,0,0,0
纵横缤城,白云,新市,售罄,43000,"2室, 3室",85.5,360.0,1,0,0,0,1,0,0,0,0,0,0,1
广州大学城智慧谷,番禺,国际创新城,售罄,28600,1室,340.0,950.0,1,1,0,0,0,0,0,0,0,0,1,0
鸿成珠江玥,南沙,万顷沙,售罄,19000,"2室, 3室",88.5,180.0,0,0,0,0,1,0,0,0,0,0,0,0
保利阅云台,白云,新市,售罄,45000,"3室, 4室",103.5,450.0,0,1,1,1,1,0,0,0,0,0,0,0
南沙.越秀明珠天悦江湾,南沙,明珠湾,售罄,30000,"3室, 4室",129.0,260.0,1,1,0,1,1,0,0,0,0,0,0,0
中国铁建·花语岭南,番禺,金山谷,售罄,45000,"4室, 5室",152.5,650.0,0,1,1,1,1,0,0,0,0,0,0,0
保利拾光年,黄埔,知识城,售罄,25500,"2室, 3室, 4室",80.0,235.0,0,1,1,1,0,0,0,0,0,0,0,0
越秀臻裕府,花都,镜湖大道,售罄,28000,"3室, 4室",111.0,290.0,0,1,1,1,1,0,0,0,0,0,0,0
合盛·秀丽庄园,增城,小楼镇,售罄,18600,5室,215.0,500.0,0,1,1,0,0,0,0,0,0,0,0,0
兰园·凤翎台,花都,镜湖大道,售罄,23800,"3室, 4室",101.5,238.0,0,1,1,0,1,0,0,0,0,0,0,0
领南星河荣誉,南沙,南沙港,售罄,28000,"3室, 4室, 5室",114.0,280.0,0,1,1,0,1,0,0,0,0,0,0,0
大华·紫悦府,番禺,市桥,售罄,27000,"2室, 3室, 4室",111.0,260.0,0,1,1,0,1,0,0,0,0,0,0,0
大华·紫悦府,番禺,市桥,售罄,29000,"3室, 4室",108.0,90.0,1,1,1,0,0,0,0,0,0,0,0,0
龙湖天著,白云,人和,售罄,26000,"3室, 4室",116.5,230.0,0,0,1,0,1,0,0,0,0,0,0,0
时代龙湖天著,白云,人和,售罄,23000,"3室, 4室",108.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0
珠江壹号,海珠,广州大道南,售罄,48000,"2室, 3室, 4室",72.0,240.0,1,0,1,0,0,0,0,0,0,0,0,0
璞悦台,番禺,市桥北,售罄,31000,"3室, 4室",115.0,320.0,0,1,1,0,1,0,0,0,0,0,0,0
四海城商业广场,番禺,万博,售罄,30000,31室,2150.0,150.0,0,0,0,0,0,0,0,0,0,1,1,0
光大ONE+,增城,永宁,售罄,30000,"3室, 4室",108.0,200.0,1,1,1,0,0,0,0,0,0,0,0,0
星樾山畔TOD,黄埔,科学城,售罄,36500,"3室, 4室",95.0,365.0,0,1,1,1,1,0,0,0,0,0,0,0
星汇城,黄埔,知识城,售罄,22000,"3室, 4室",101.5,210.0,0,1,1,1,1,0,0,0,0,0,0,0
时代云来（广州）,白云,人和,售罄,25000,"3室, 4室",92.0,210.0,0,1,1,0,1,0,0,0,0,0,0,0
万科金域曦府,荔湾,花地湾,售罄,55000,"2室, 3室, 4室",102.0,550.0,1,1,0,1,0,0,0,0,0,0,1,0
星河智荟,南沙,明珠湾,售罄,24000,"3室, 4室",108.0,250.0,0,1,1,0,1,1,0,0,0,0,0,0
越秀和樾府,番禺,汉溪长隆,售罄,66000,"3室, 4室, 5室",184.0,700.0,1,1,1,1,0,0,0,0,0,0,0,0
保利悦公馆,番禺,金山谷,售罄,38000,"2室, 3室, 4室",115.5,345.0,0,1,1,1,1,0,0,0,0,0,0,0
保利·明玥晨光,花都,新区,售罄,27500,"3室, 4室",113.5,260.0,1,1,1,1,0,0,0,0,0,0,0,0
雅居乐天际715,荔湾,芳村,售罄,60000,2室,73.5,387.0,1,1,0,0,0,0,0,0,0,0,0,0
时代云来（广州）,白云,人和,售罄,35000,"3室, 4室",108.0,200.0,1,1,0,0,0,0,0,0,1,0,0,0
保利阅云台,白云,新市,售罄,50000,1室,28.0,300.0,1,1,1,1,0,0,0,0,0,0,0,0
越秀国际总部广场,南沙,金洲,售罄,25000,"3室, 4室",108.0,300.0,1,1,0,1,0,0,0,0,0,0,1,0
保利大都汇,番禺,汉溪长隆,售罄,30000,"6室, 10室",3241.5,6000.0,1,1,1,1,0,0,0,0,0,0,0,0
雅居乐滨江雅苑,从化,太平镇,售罄,11500,"3室, 4室",87.0,90.0,1,1,1,0,0,0,0,0,0,0,0,0
中海联南沙国贸中心,南沙,金洲,售罄,18000,1室,182.5,120.0,1,0,0,0,0,0,0,0,1,1,0,1
明珠湾壹号,南沙,明珠湾,售罄,50000,3室,350.0,1588.0,1,0,1,1,0,0,0,0,0,0,0,0
中国铁建环球中心,南沙,南沙区府,售罄,12600,1室,43.5,75.0,0,1,0,1,0,0,0,0,1,1,0,0
保利湾上,南沙,黄阁,售罄,22000,"2室, 3室, 4室",93.5,200.0,1,1,1,1,0,0,0,0,0,0,0,0
奥园中新城市天地,增城,中新镇,售罄,21500,"3室, 4室",87.0,185.0,1,1,1,0,0,0,0,0,0,1,0,0
合景臻玥广场,黄埔,科学城,售罄,55000,"3室, 4室",108.0,1600.0,1,1,1,0,0,0,0,0,0,1,0,0
中建弘阳德信·湾璟壹号,南沙,万顷沙,售罄,20000,"3室, 4室",98.5,180.0,0,1,1,1,1,0,0,0,0,0,0,0
万科城市之光,黄埔,文冲,售罄,50000,"3室, 4室",127.0,450.0,1,1,0,1,0,0,0,0,0,0,0,0
越秀·星汇文玺,番禺,国际创新城,售罄,38000,"2室, 3室, 4室",97.5,370.0,1,1,0,1,1,0,0,0,0,0,0,0
中交国际邮轮广场,南沙,南沙港,售罄,24000,1室,467.0,845.0,1,1,1,1,0,0,0,0,0,0,0,0
美的江上沄启,南沙,明珠湾,售罄,30000,"2室, 3室",119.0,300.0,1,1,0,0,0,0,0,0,0,0,0,0
金地半山风华,增城,永宁,售罄,12000,"2室, 3室",86.0,120.0,0,0,0,0,1,0,0,0,0,0,0,0
美的江上沄启,南沙,明珠湾,售罄,19500,"2室, 4室",49.5,74.0,1,1,0,0,0,0,0,0,0,0,0,0
领南星河荣誉,南沙,南沙港,售罄,34000,"3室, 4室",108.0,160.0,1,1,1,0,0,0,0,0,0,0,0,0
中建玖玥湾,南沙,南沙港,售罄,35000,"3室, 4室",120.0,400.0,1,1,0,1,1,0,0,0,0,0,0,0
中海联睿品,增城,新塘北,售罄,30000,"3室, 4室",108.0,150.0,1,0,1,0,0,0,0,0,0,0,0,1
合景臻玥广场,黄埔,科学城,售罄,55000,5室,317.5,1721.0,0,1,1,0,1,0,0,0,0,0,0,0
保利越秀·天启,荔湾,鹤洞,售罄,50000,"2室, 3室, 4室",103.5,600.0,1,1,0,1,0,0,0,0,0,0,0,0
越秀星寰TOD,番禺,钟村,售罄,36000,"2室, 3室, 4室",111.0,320.0,0,1,1,1,1,0,0,0,0,0,0,0
铂玥明珠ONE,南沙,明珠湾,售罄,28000,"2室, 3室, 4室",96.0,250.0,1,1,1,0,0,0,0,0,0,0,0,0
保利南方财经大厦,天河,金融城,售罄,42000,6室,353.0,1500.0,1,1,0,1,0,0,0,0,0,0,0,0
越秀·星汇文玺,番禺,国际创新城,售罄,18000,"1室, 4室",56.0,150.0,1,1,0,1,1,0,0,0,0,0,0,0
